Date,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,AGN,LNT,ALXN,ALLE,ADS,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AN,AZO,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,BBBY
2000-01-03,31.333866,9.517434,,,1.25964,,16.274673,,32.34642,6.29082,24.468919,16.491904,46.106304,20.502169,321.25,8.374914,6.735398,35.0,6.01032,7.375,,,15.318256,,,2.187866,89.375,13.102718,,13.914155,36.452201,1025.828161,26.837672,,,3.310629,2.502285,56.221112,3.975079,14.451185,32.762022,,28.852585,12.764815,11.514206,3.625643,25.316274,7.85535,67.32417,8.615349,,20.60129,8.052905,28.857435,8.180952,30.5625,16.450351,44.729907,16.507548,4.23661,15.232599,27.239935,21.691258,11.538115,14.158696,19.931025,16.361325
2000-01-04,30.088811,9.245507,,,1.221324,,14.9094,,31.063717,6.184675,22.513069,16.05427,42.584294,19.87734,300.0,8.270227,6.735398,33.875,6.01032,6.9375,,,14.829376,,,2.205369,81.9375,13.102718,,14.080129,35.075826,973.395544,26.551557,,,3.084602,2.494053,51.922179,3.83839,14.478817,31.104622,,28.205251,12.203725,11.362704,3.319964,24.06547,7.773524,67.636094,8.22605,,19.395895,7.660816,28.857435,7.842429,30.4375,16.086807,44.142387,16.507548,4.096941,14.328471,26.457706,21.451723,11.279624,13.747306,19.407776,15.338742
2000-01-05,30.960349,9.228512,,,1.226114,,15.204175,,31.398335,6.142218,21.97209,15.962137,39.942786,19.994495,283.5,8.315093,6.852332,34.5,6.304532,7.28125,,,15.481216,,,2.193701,69.75,13.609593,,14.605714,34.184929,975.708024,27.352681,,,3.323925,2.518747,53.708748,3.75342,14.699867,31.558705,,29.037537,12.554406,11.476331,3.368548,23.164891,7.650784,71.53518,8.259902,,19.697244,7.178245,28.579958,7.786009,30.3125,16.238283,45.591604,16.609447,4.170101,14.485711,25.859531,22.223559,11.773107,13.918718,19.550481,15.555654
2000-01-06,33.450458,9.551425,,,1.202166,,15.328291,,31.649299,6.149294,22.637911,16.284604,38.421917,21.322255,236.125,8.322559,7.086199,35.0,6.304532,7.75,,,15.399736,,,2.152861,65.5625,13.558905,,14.688701,34.881394,1005.47198,27.066565,,,3.576543,2.502285,54.602033,3.64998,14.948549,30.695949,,30.054776,13.746724,11.703585,3.077039,23.202415,7.691697,70.599395,8.245089,,19.281427,6.740915,28.961486,7.786009,29.0625,16.783599,47.197494,18.188873,4.23661,15.723974,26.503719,22.702629,12.019849,14.570087,20.359138,15.927502
2000-01-07,34.114487,9.653397,,,1.235693,,16.072985,,32.262765,6.552642,23.178891,16.607071,41.623744,22.806222,248.375,8.629152,6.969265,37.4375,6.388592,8.25,,,15.970097,,,2.211204,69.5625,13.761655,,14.882337,35.389236,1080.728133,28.554368,,,4.041893,2.53521,60.743366,3.686923,15.307756,31.558705,,31.626872,13.699967,11.836149,3.222794,23.402543,7.814437,70.391447,8.564571,,19.446696,7.540173,29.620491,8.068111,30.4375,17.207733,47.354166,19.411654,4.116894,15.311219,27.884121,23.28816,12.701327,14.672935,21.500772,16.640211
2000-01-10,33.94848,9.585416,,,1.297956,,16.693563,,33.712777,6.432345,23.761483,15.616636,44.145183,21.400358,285.5,8.4796,6.945879,38.8125,6.402602,8.28125,,,15.603436,,,2.240375,69.1875,13.66028,,14.827013,35.882566,1061.60563,31.072188,,,4.148258,2.617521,64.428166,3.860555,14.893287,34.305901,,22.286772,13.162255,12.025528,3.166112,25.291257,7.814437,70.183493,8.251439,,19.722145,7.464022,30.348864,8.011691,30.6875,17.4198,48.88172,18.800263,4.249911,14.780535,26.64176,22.91555,12.219593,14.295827,21.025091,17.47687
2000-01-11,33.367454,9.449452,,,1.35543,,15.545493,,33.880086,6.439422,23.678257,15.294168,43.544841,20.424064,278.4375,8.4796,6.922492,38.5625,6.388592,7.5,,,15.562696,,,2.252044,66.75,13.634936,,14.882337,36.216289,1044.333779,33.418338,,,4.281215,2.543441,59.347609,3.952913,14.838024,32.898247,,20.899629,13.209012,11.968714,3.004162,24.178042,7.691697,69.767592,8.200661,,19.446696,7.2676,29.759228,7.729589,30.0625,17.056257,48.607544,19.207857,4.329722,14.466056,25.997571,22.86232,12.219593,13.918718,20.692114,16.361325
2000-01-12,33.450458,9.308037,,,1.297956,,15.467921,,34.577207,6.418193,23.71987,15.040801,42.664339,20.77553,254.0,8.240317,6.969265,40.9375,6.458643,7.40625,,,15.644176,,,2.263712,63.5625,13.710968,,14.992987,36.027663,1075.793331,34.791695,,,4.281215,2.551672,56.779415,4.499671,14.75513,33.96534,,20.6222,13.138876,11.968714,2.823993,25.428846,7.896263,69.143737,8.132957,,18.427535,7.146726,29.481754,7.786009,29.8125,17.025961,48.176695,18.34172,4.143497,14.623295,26.825814,22.463094,12.078596,14.374843,20.026161,16.361325
2000-01-13,33.450458,9.222642,,,1.312325,,16.290187,,35.162789,6.488956,24.926671,15.386302,43.304706,20.619324,232.8125,8.225362,7.062813,41.75,6.514683,8.71875,,,16.173797,,,2.28705,65.9375,13.761655,,14.965324,36.216289,1105.402321,33.876124,,,5.03907,2.518747,59.682591,4.440562,14.948549,34.07886,,22.471725,13.419421,11.779336,3.133722,24.916016,7.85535,67.896033,8.116031,,17.986817,7.071179,29.308331,7.786009,30.0,16.965371,47.785015,18.34172,4.23661,14.95743,27.516013,22.702629,12.360588,15.549709,21.405636,17.228971
2000-01-14,32.973187,9.42759,,,1.297956,,16.460846,,37.142613,6.368659,25.46765,15.823936,43.784979,20.228806,230.0,8.180496,6.922492,44.625,6.430623,8.65625,,,15.766397,,,2.263712,64.25,13.558905,,14.965324,37.028837,1125.758502,34.906141,,,4.719973,2.494053,61.022518,4.53292,14.976181,36.826057,,22.148058,13.302527,11.381641,3.253159,27.142447,8.182657,66.544353,8.073716,,18.51017,7.28271,28.996172,7.786009,29.75,16.965371,47.941687,18.545517,4.476041,15.881213,28.804391,22.276789,11.9846,16.137143,20.834819,17.043047
