,MMM,ABT,ABBV,ACN,ATVI,AYI,ADBE,AAP,AES,AET,AMG,AFL,A,APD,AKAM,ALK,ALB,AGN,LNT,ALXN,ALLE,ADS,ALL,GOOGL,GOOG,MO,AMZN,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,APC,ADI,ANTM,AON,APA,AIV,AAPL,AMAT,ADM,ARNC,AJG,AIZ,T,ADSK,ADP,AN,AZO,AVB,AVY,BHI,BLL,BAC,BK,BCR,BAX,BBT,BDX,BBBY
MMM,1.0,0.947679352757,0.917589545673,0.966603982636,0.92680611851,0.962076921708,0.931898084981,0.967154891453,-0.281272589378,0.955496689465,0.878619742281,0.909065850399,0.602854323077,0.969482633493,0.282840195369,0.946160753855,0.856319587686,0.917694074223,0.969260156069,0.910872821894,0.85845750851,0.936017541698,0.87503921285,0.953763658352,0.952869591945,0.973293402836,0.936524691388,0.869924753328,0.552820512552,0.960649601581,0.851260333444,-0.642226052881,0.912246080351,0.960812600835,0.93795740378,0.959390181465,0.937758253926,0.923137409167,0.973635934482,0.679711687123,0.704904798314,0.923351603866,0.963547333306,0.289720901201,0.896507086341,0.933586173106,0.254625712211,0.855899139551,-0.534289871741,0.956515624957,0.863222321614,0.846728913287,0.847606805762,0.956686780442,0.920723952821,0.967382302468,0.924206423549,0.693136064803,0.438970705448,0.979383912588,-0.298240055786,0.480569424938,0.961772723118,0.871136128256,0.853761739276,0.968195105918,0.703306454714
ABT,0.947679352757,1.0,0.870608054456,0.955049238411,0.893520747543,0.901497496693,0.889369285558,0.955766050099,-0.232840521824,0.924691416282,0.919121619419,0.88422630489,0.59061325692,0.95742337336,0.293699639219,0.910243853028,0.86063969822,0.914851547919,0.954259208707,0.956543090411,0.435944334801,0.969952039949,0.81833971347,0.923775262516,0.923725683298,0.949063644429,0.887247030879,0.795987205404,0.46883217219,0.953824446871,0.859866936084,-0.711317683236,0.935665379057,0.887802480926,0.935887638459,0.966548527491,0.972040123737,0.896302390629,0.971252039781,0.766794389018,0.666856481212,0.890520192002,0.962449719584,0.352614419617,0.85042782291,0.960888467066,0.170939123674,0.874859255901,-0.595151308867,0.951337214287,0.811650131298,0.883308495348,0.816160112264,0.942571473893,0.934298158241,0.954744930205,0.930441940808,0.540074697599,0.445583502987,0.96633834399,-0.396336639113,0.467333554464,0.938018446836,0.925790737843,0.803343803449,0.947569785205,0.748817617345
ABBV,0.917589545673,0.870608054456,1.0,0.783879930944,0.740370242184,0.831226414429,0.868343093254,0.896812771068,0.0568114038946,0.905507757242,0.159731142009,0.72547151837,0.806842234141,0.928912796316,0.709837676479,0.843422325916,0.228130404052,0.838703671726,0.812006428973,0.630514944708,0.727451137654,0.554290433889,0.927895157387,0.743732704652,0.731922128135,0.830682761448,0.670930190391,0.805012005338,0.800936240573,0.837404887674,0.0937448072212,0.883936163567,0.86324381842,0.755551600944,0.71349642801,0.841910934284,0.646224923196,0.948056633667,0.903270674004,-0.397835092643,0.841458831778,0.908571731556,0.927433061539,-0.569582667085,0.848910988867,0.891054338104,0.716511755509,0.768558374382,0.320570270247,0.804342936726,0.816074100712,0.623242245432,0.801983528595,0.904652386115,0.502531849825,0.857607391864,0.833479343128,0.791427507888,0.292129770137,0.919117682593,0.624100660061,0.91272283174,0.880196317379,0.627457389941,0.767977723018,0.891926706121,-0.36049181914
ACN,0.966603982636,0.955049238411,0.783879930944,1.0,0.937597205235,0.957245548104,0.923482505826,0.963516772739,0.0413113166842,0.931519690796,0.846216730805,0.887256372823,0.926210818827,0.959177731524,0.815988842515,0.943237107349,0.894612403043,0.908275573344,0.982811626859,0.925941074115,0.922900501281,0.924944680105,0.783240958823,0.966082512957,0.965678021094,0.9869647264,0.969473589985,0.80215613978,0.434093395968,0.970188000417,0.816909982246,-0.68301133142,0.971998763296,0.98008612937,0.878616996785,0.945162436797,0.952624244591,0.908456757059,0.980726313574,0.67704858631,0.905997152765,0.881821348656,0.973261746743,0.223409023886,0.875429765023,0.956956696798,0.571261624308,0.821049974746,-0.601776978438,0.955854514965,0.839760471089,0.937685418438,0.802612718214,0.976772242113,0.913565296619,0.986680521512,0.948343181056,0.622049816153,0.338795605308,0.98276728344,-0.500455881035,0.593993263344,0.962555834466,0.917359364965,0.769971475311,0.966702406725,0.669427269802
ATVI,0.92680611851,0.893520747543,0.740370242184,0.937597205235,1.0,0.96688026129,0.939471572211,0.908455255836,-0.256417366685,0.937844321899,0.759786138194,0.884906698201,0.562571311298,0.938576852707,0.271535229536,0.904657660239,0.82884580538,0.838925740972,0.938886546379,0.814691885184,0.895024310414,0.82078872722,0.793079079477,0.941729368573,0.937472125464,0.958545180498,0.954163763303,0.840909997684,0.410841032013,0.935279244169,0.690266546665,-0.66426381612,0.886210388703,0.91904986891,0.754366072331,0.882221995319,0.868685462428,0.852168190779,0.937578113523,0.597639227763,0.625273454596,0.862829969733,0.938414463306,0.329456039402,0.850725055543,0.875577049151,0.231816431746,0.817620226576,-0.539572387131,0.86036338191,0.888702180409,0.845239185228,0.823168791117,0.904453521967,0.795287730731,0.931510281823,0.891133488424,0.665805341147,0.426643559087,0.928184897721,-0.315321113933,0.502968169343,0.967597145976,0.896329498955,0.750313916345,0.970909403442,0.506722022621
AYI,0.962076921708,0.901497496693,0.831226414429,0.957245548104,0.96688026129,1.0,0.963449434596,0.945844817926,0.108570586269,0.955178664075,0.764207361787,0.861816024223,0.879327021347,0.936606897454,0.77125385684,0.96590900007,0.78375812488,0.91906829877,0.951260256333,0.855052168237,0.943929245727,0.862600098284,0.83145301647,0.956015260139,0.951886245093,0.9748919631,0.970614420318,0.860765443077,0.540643230196,0.951748060903,0.736632464697,-0.536696462274,0.908120241186,0.963891604382,0.841680181916,0.922895423294,0.867086955984,0.934313756133,0.942362417086,0.495337827332,0.90501648275,0.908912446246,0.956069302621,0.046191578029,0.891803595061,0.886380054904,0.683238944812,0.780100973806,-0.474323926892,0.899263540546,0.896231596384,0.883753340323,0.789716617343,0.961196135703,0.825487301652,0.956134293085,0.888867959931,0.761551921661,0.295582841675,0.945469931022,-0.360604229666,0.702688485419,0.965086239073,0.8512511589,0.792961093634,0.967578263233,0.490010113295
ADBE,0.931898084981,0.889369285558,0.868343093254,0.923482505826,0.939471572211,0.963449434596,1.0,0.919646884077,-0.0622894117134,0.956984941868,0.814164365941,0.874572103128,0.676155638877,0.923723746971,0.376630462643,0.926524693135,0.768191270097,0.882716812729,0.927752384111,0.830612389524,0.927234815896,0.865930797821,0.884515841046,0.93897801412,0.935038781232,0.930095264638,0.914458883059,0.885335336784,0.643499127248,0.934079959744,0.801097967943,-0.49900578468,0.899965940676,0.936390144081,0.865090619209,0.890999886213,0.85051562068,0.913168615578,0.929524278779,0.572332550153,0.754575488334,0.939626391963,0.940271490247,0.224350153747,0.899714684698,0.850898584609,0.413129568337,0.819337367408,-0.398017150215,0.861333865106,0.93998095367,0.85957837713,0.851924022112,0.931525873781,0.796786569444,0.898072562285,0.867391983915,0.771957004471,0.488333143533,0.904740581333,-0.17499956546,0.67192083673,0.936089902682,0.845741882982,0.823925419749,0.94672921666,0.493976498501
AAP,0.967154891453,0.955766050099,0.896812771068,0.963516772739,0.908455255836,0.945844817926,0.919646884077,1.0,0.100012761279,0.940851131428,0.8541858925,0.85427681321,0.899963028987,0.956664993488,0.827188917158,0.965545273078,0.817090943825,0.959055456101,0.953675130011,0.949330777782,0.704869489138,0.946757765231,0.800849190889,0.938704975892,0.936010548166,0.969979587739,0.927245139898,0.797518984208,0.51216956617,0.948675813353,0.83360162076,-0.642456032264,0.946263341431,0.925685183607,0.919512333287,0.971983108177,0.946357197313,0.937698606381,0.966740580818,0.652034053916,0.912615365159,0.920722499122,0.964021551405,0.137406158284,0.857702906665,0.95725476709,0.583932598929,0.832655125906,-0.563738605959,0.941844361633,0.829400884682,0.877799101603,0.79912600235,0.972712737286,0.928414332754,0.980497439733,0.926455561403,0.613451431203,0.317346096404,0.977556924721,-0.473670425622,0.617529791495,0.951687686529,0.857164452137,0.783732380791,0.949319123047,0.672834947116
AES,-0.281272589378,-0.232840521824,0.0568114038946,0.0413113166842,-0.256417366685,0.108570586269,-0.0622894117134,0.100012761279,1.0,-0.231343110164,-0.20294203917,-0.256631927816,0.343704894052,-0.26887061044,0.359128559104,-0.160539594487,-0.276766438517,-0.101892230414,-0.194629488154,-0.169551640878,-0.491187306144,0.0446856652243,-0.162859601027,-0.15601632085,-0.15441355412,-0.244134631078,-0.207211256701,-0.225486228663,0.455119899038,-0.165682654927,-0.0551044072378,0.477213531353,-0.0409542322845,0.203435436137,-0.0333232632357,-0.237381796871,-0.275005187469,-0.0894008508363,-0.225835323842,-0.20754805449,0.277013245149,0.325742653894,-0.161720435035,-0.285862802733,-0.119663786087,-0.235753659956,0.524593585352,-0.26034823697,0.386723436574,-0.266560135556,0.238369631165,0.0574397455601,-0.231021618565,-0.0917832321018,-0.309599646288,-0.279997311781,-0.259719669044,-0.0402466728312,-0.0517674473016,-0.318640750391,0.0351481400211,0.467464523531,-0.290598534291,-0.184140426101,-0.259546321315,-0.264437810794,-0.390405955194
AET,0.955496689465,0.924691416282,0.905507757242,0.931519690796,0.937844321899,0.955178664075,0.956984941868,0.940851131428,-0.231343110164,1.0,0.87216629136,0.902700341842,0.584913635547,0.95607011366,0.305317632741,0.926703930444,0.806751878873,0.881993072301,0.943158352851,0.853629346226,0.902226521685,0.890160956952,0.91074918065,0.923852247589,0.91915506817,0.949934669409,0.904617548574,0.921660305408,0.647228561921,0.94664518754,0.817974650378,-0.570981845467,0.889316151092,0.947493446907,0.889799689431,0.930118099989,0.899734940207,0.902022020646,0.94487565364,0.641918676508,0.664585080746,0.976077107058,0.943146566762,0.300262071681,0.911135655625,0.889428949735,0.249355248655,0.880874589922,-0.449620785813,0.892246630049,0.925030363221,0.830433200267,0.898471449727,0.920238026857,0.868134168837,0.929320405802,0.920595192291,0.727032179122,0.54327803741,0.94570801277,-0.161934460046,0.556157915092,0.966785528431,0.854083859899,0.864970241419,0.968617956573,0.612195131041
