Date,Open,High,Low,Close,Volume,Adj Close
2001-11-29,40.159999,43.399999,40.079999,41.64,371100,13.273657
2001-11-30,41.64,42.799999,41.64,42.799999,165300,13.643432
2001-12-03,42.700001,42.700001,41.350001,41.350001,127500,13.181214
2001-12-04,41.350001,41.350001,39.700001,39.700001,95400,12.65524
2001-12-05,40.3,44.350001,40.3,44.000001,598200,14.025959
2001-12-06,44.200001,44.200001,43.709999,43.720001,157200,13.936703
2001-12-07,43.749999,44.000001,43.399999,44.000001,215100,14.025959
2001-12-10,43.9,43.920001,43.760001,43.85,119100,13.978143
2001-12-11,43.800001,44.13,43.760001,43.760001,378600,13.949453
2001-12-12,43.749999,43.749999,42.110001,42.300001,114600,13.484047
2001-12-13,42.249999,42.799999,41.899999,41.899999,113700,13.356537
2001-12-14,41.849999,41.849999,40.549999,40.89,233400,13.034578
2001-12-17,40.989999,42.0,40.989999,41.000001,106200,13.069643
2001-12-18,41.05,41.6,41.000001,41.000001,101400,13.069643
2001-12-19,41.000001,41.05,40.74,41.05,157800,13.085582
2001-12-20,41.200001,42.689999,41.200001,42.300001,97200,13.484047
2001-12-21,42.55,45.900001,42.500001,45.340001,659400,14.453113
2001-12-24,45.300001,46.050001,45.2,45.799999,50700,14.599747
2001-12-26,45.900001,46.960001,45.799999,45.999999,378000,14.663502
2001-12-27,47.25,47.65,46.199999,46.949999,349200,14.966335
2001-12-28,47.200001,47.200001,46.9,47.05,295500,14.998212
2001-12-31,47.099999,49.750002,46.7,49.750002,255900,15.858897
2002-01-02,48.499998,48.499998,47.65,47.779999,132300,15.230915
2002-01-03,47.699999,47.710001,45.300001,45.300001,89700,14.440362
2002-01-04,45.300001,45.599999,41.000001,42.500001,346500,13.547801
2002-01-07,42.500001,43.1,39.850001,41.8,601500,13.32466
2002-01-08,41.550001,41.8,40.5,41.099999,442200,13.10152
2002-01-09,41.149999,41.6,41.099999,41.200001,60000,13.133398
2002-01-10,41.200001,42.4,41.200001,42.100001,216300,13.420292
2002-01-11,42.999999,44.25,42.95,43.5,340800,13.866572
2002-01-14,43.5,43.7,42.900001,42.900001,230700,13.67531
2002-01-15,44.25,46.349999,44.25,46.010001,1030200,14.66669
2002-01-16,45.930001,47.350001,45.500001,46.9,526200,14.950396
2002-01-17,47.000001,47.8,47.000001,47.200001,42900,15.046028
2002-01-18,47.099999,48.0,46.7,47.299999,70500,15.077905
2002-01-22,47.310001,47.310001,45.700001,46.7,130800,14.886642
2002-01-23,46.800001,47.149999,46.7,46.9,38700,14.950396
2002-01-24,47.000001,47.200001,45.999999,46.250001,125100,14.743195
2002-01-25,46.399999,47.299999,45.95,46.9,88800,14.950396
2002-01-28,47.05,47.699999,45.780001,46.3,75300,14.759133
2002-01-29,46.349999,46.600001,46.3,46.359999,27300,14.778259
2002-01-30,46.399999,46.7,46.1,46.650001,67800,14.870704
2002-01-31,46.749999,47.099999,46.450001,46.85,36600,14.934458
2002-02-01,46.949999,47.200001,46.949999,47.099999,9000,15.014151
2002-02-04,47.000001,47.000001,46.3,46.330001,13200,14.768697
2002-02-05,46.1,46.15,45.850001,45.890001,39300,14.628437
2002-02-06,45.79,45.799999,45.500001,45.700001,54300,14.567871
2002-02-07,44.499999,44.849999,43.800001,44.699999,216000,14.249098
2002-02-08,44.65,44.849999,44.499999,44.8,71100,14.280976
2002-02-11,44.699999,45.500001,44.6,45.4,21600,14.472239
2002-02-12,45.500001,46.199999,45.500001,46.199999,14100,14.727256
2002-02-13,45.999999,46.1,44.899999,45.0,74100,14.34473
2002-02-14,45.100001,45.100001,44.400001,44.65,58500,14.23316
2002-02-15,44.550001,44.6,44.499999,44.6,17100,14.217221
2002-02-19,44.699999,44.790001,44.45,44.499999,9900,14.185344
2002-02-20,44.400001,45.75,43.9,44.200001,88500,14.089713
2002-02-21,44.000001,44.379999,43.800001,44.379999,132300,14.147091
2002-02-22,44.379999,44.950001,44.379999,44.899999,45600,14.312852
2002-02-25,44.8,45.300001,44.8,45.0,25800,14.34473
2002-02-26,45.100001,45.300001,45.0,45.100001,88800,14.376608
2002-02-27,45.150001,45.599999,44.950001,45.100001,127200,14.376608
2002-02-28,45.2,45.2,44.499999,44.8,22500,14.280976
2002-03-01,44.8,44.8,43.549999,43.9,219000,13.994081
2002-03-04,43.800001,44.200001,43.549999,43.9,129300,13.994081
2002-03-05,43.9,43.9,43.199999,43.7,269100,13.930327
2002-03-06,43.600001,43.989999,43.349999,43.600001,501000,13.89845
2002-03-07,42.2,42.2,40.800001,40.9,13530300,13.037766
2002-03-08,41.01,41.590001,40.520001,41.499999,3135000,13.229029
2002-03-11,41.499999,42.2,41.000001,41.990001,3147600,13.385227
2002-03-12,41.499999,41.950001,41.400001,41.8,1657800,13.32466
2002-03-13,41.499999,41.849999,41.499999,41.699999,777900,13.292783
2002-03-14,42.0,43.199999,41.899999,43.1,2705400,13.739064
2002-03-15,43.1,44.45,42.850001,44.350001,1723200,14.137529
2002-03-18,44.000001,44.310001,43.749999,44.25,1295700,14.105651
2002-03-19,44.149999,45.100001,44.000001,45.0,929400,14.34473
2002-03-20,45.0,45.0,44.48,44.56,565200,14.204471
2002-03-21,44.45,44.6,43.800001,44.499999,522600,14.185344
2002-03-22,44.350001,44.53,44.149999,44.25,916500,14.105651
2002-03-25,44.000001,44.400001,43.749999,44.05,437400,14.041897
2002-03-26,44.000001,45.0,44.000001,45.0,936900,14.34473
2002-03-27,45.0,45.100001,44.950001,45.049999,357600,14.360668
2002-03-28,45.100001,46.050001,45.100001,45.999999,1013100,14.663502
2002-04-01,45.999999,46.079999,45.620001,46.010001,524700,14.66669
2002-04-02,45.999999,45.999999,44.859999,45.0,2018400,14.34473
2002-04-03,45.0,45.0,43.690001,43.85,1195500,13.978143
2002-04-04,43.85,44.200001,43.800001,43.98,602100,14.019583
2002-04-05,44.25,44.499999,44.099999,44.499999,483600,14.185344
2002-04-08,44.499999,45.0,43.949999,45.0,510900,14.34473
2002-04-09,45.150001,46.749999,45.150001,46.7,594600,14.886642
2002-04-10,46.7,47.750001,46.7,47.750001,833400,15.221353
