Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,93.5,93.875,88.0,90.1875,3655600,32.762022
2000-01-04,89.5,91.5,85.5625,85.625,2533200,31.104622
2000-01-05,85.625,88.25,83.1875,86.875,3228000,31.558705
2000-01-06,86.875,87.625,83.25,84.5,2601000,30.695949
2000-01-07,84.0,88.5,82.625,86.875,1890600,31.558705
2000-01-10,90.0,94.75,89.25,94.4375,2570000,34.305901
2000-01-11,93.5,94.0,90.25,90.5625,1926200,32.898247
2000-01-12,90.3125,95.5,89.0,93.5,2842400,33.96534
2000-01-13,95.75,95.75,92.75,93.8125,1685000,34.07886
2000-01-14,95.75,101.9375,95.625,101.375,4688800,36.826057
2000-01-18,100.5,101.75,98.0625,98.5,1968800,35.781668
2000-01-19,99.5,102.25,99.0,101.4375,1835600,36.848761
2000-01-20,103.25,104.0,99.0,99.4375,1991000,36.122229
2000-01-21,99.875,99.9375,96.625,96.625,1788600,35.100545
2000-01-24,100.5,101.5,97.625,98.5625,2860200,35.804372
2000-01-25,98.5625,105.25,98.0,105.0,2408200,38.142895
2000-01-26,104.0,104.25,98.625,101.6875,2682800,36.939577
2000-01-27,101.9375,103.093697,94.0,96.0625,2682800,34.896208
2000-01-28,95.0,98.125,93.0,95.5,2835800,34.691871
2000-01-31,94.0,95.625,86.0,93.5,3702000,33.96534
2000-02-01,93.0,98.6875,90.125,98.0,2826200,35.600035
2000-02-02,97.875,98.4375,95.0625,96.25,2537200,34.96432
2000-02-03,98.0,107.625,97.5,105.75,4145200,38.415344
2000-02-04,106.0,112.5,103.75,111.5,3716200,40.504121
2000-02-07,111.25,119.75,109.1875,119.0,2656400,43.228614
2000-02-08,119.875,120.375,114.0,114.75,2789800,41.684735
2000-02-09,114.6875,117.0,112.25,115.6875,2779600,42.025296
2000-02-10,114.75,118.75,114.0,116.125,2870000,42.184225
2000-02-11,118.0,119.8125,112.5,114.625,2038000,41.639327
2000-02-14,117.0,118.75,114.75,117.0,2333200,42.502083
2000-02-15,117.0,119.875,112.0,119.875,3279200,43.546471
2000-02-16,123.75,128.0,122.25,127.5,4281400,46.316372
2000-02-17,128.875,143.625,124.5,141.0,4563800,51.220459
2000-02-18,141.0,142.0,134.875,135.75,3625800,49.313314
2000-02-22,136.0,145.875,135.875,143.6875,4419200,52.196735
2000-02-23,143.6875,150.5,143.375,147.625,4011400,53.627094
2000-02-24,151.0,167.3125,150.5,161.3125,5406000,58.599292
2000-02-25,156.5,162.25,155.125,156.875,3421600,56.987301
2000-02-28,154.5,155.125,138.5,149.4375,4315000,54.285513
2000-02-29,157.0,160.5,151.6875,157.25,3920000,57.123526
2000-03-01,159.0,165.0,157.25,161.5,3680200,58.667405
2000-03-02,161.875,162.3125,153.1875,156.0625,3350400,56.692148
2000-03-03,158.0,167.75,156.0625,167.0,3269800,60.665366
2000-03-06,171.0,185.5,170.0,182.625,4014000,66.341392
2000-03-07,183.5,183.5,158.0,165.0,3881200,59.938834
2000-03-08,165.0,167.75,157.0,165.625,2986800,60.165875
2000-03-09,165.625,180.25,162.5,177.0,3207800,64.298022
2000-03-10,177.0625,178.25,168.5,172.9375,2455000,62.822256
2000-03-13,169.0,171.375,164.5,165.0,2531600,59.938834
2000-03-14,167.5,168.0,145.0,145.625,4549200,52.900562
2000-03-15,145.875,146.0,134.0,134.0,5183200,48.677599
2000-03-16,71.0,79.0,67.9375,79.0,4010800,57.395975
2000-03-17,75.0,78.125,73.1875,77.875,2173900,56.578627
2000-03-20,84.5,85.5,78.25,80.25,2902000,58.304139
2000-03-21,80.0,85.0,76.1875,85.0,2278400,61.755163
2000-03-22,87.5,94.0,87.375,92.0,2916500,66.840882
2000-03-23,92.0,92.5,85.625,90.5,2572000,65.751085
2000-03-24,90.5,94.6875,86.875,87.75,1963500,63.753124
2000-03-27,88.0,90.25,87.0,88.0,2045300,63.934757
2000-03-28,87.375,87.375,81.5,81.5,1975700,59.212303
2000-03-29,83.25,86.3125,80.5,86.25,4154700,62.663327
2000-03-30,85.125,86.0,69.0,78.0,3539500,56.669443
2000-03-31,79.125,81.875,73.1875,80.5,3045900,58.485772
2000-04-03,80.5625,81.75,72.0,74.1875,2498400,53.899543
2000-04-04,74.0,75.5,63.125,71.0,4220800,51.583724
2000-04-05,70.875,75.5,69.5,72.984299,3387300,53.025379
2000-04-06,76.875,79.25,75.8125,78.8125,2423800,57.25975
2000-04-07,78.625,81.25,78.4375,79.0,2218100,57.395975
2000-04-10,80.0,82.125,71.0,71.0,2290900,51.583724
2000-04-11,71.0,71.0625,67.0,68.25,3181000,49.585763
2000-04-12,66.375,67.625,60.9375,62.25,4895900,45.226575
2000-04-13,64.5,67.0,62.0,62.125,3691200,45.135759
2000-04-14,59.5,62.125,54.0625,58.625,5056500,42.592899
2000-04-17,59.0,65.125,58.0,65.125,3956500,47.315353
2000-04-18,63.75,69.5625,62.0,65.5625,2627000,47.63321
2000-04-19,66.5,66.875,60.125,63.0625,2686200,45.816882
2000-04-20,62.625,65.0,61.25,64.75,1590800,47.042903
2000-04-24,63.5,64.0,60.1875,61.5,1542300,44.681677
2000-04-25,62.25,66.5,62.0,66.375,2780000,48.223517
2000-04-26,65.0,68.75,65.0,65.5625,2147900,47.63321
2000-04-27,63.75,71.9375,62.625,71.5625,2000200,51.992398
2000-04-28,73.0,77.531197,72.125,76.8125,2354600,55.806688
2000-05-01,77.75,79.75,77.1875,77.6875,2942000,56.442402
2000-05-02,77.75,79.25,71.3125,71.3125,1476600,51.810765
2000-05-03,73.5,73.9375,64.5,68.25,2519700,49.585763
2000-05-04,70.0,70.0,66.4375,68.0,2252400,49.40413
2000-05-05,68.0,70.625,67.25,68.9375,1711600,50.085253
2000-05-08,68.0,68.75,64.75,64.9375,1164900,47.179128
2000-05-09,65.125,66.1875,59.0,60.6875,2028800,44.09137
2000-05-10,60.5,61.5,54.0,56.0,3950400,40.685754
2000-05-11,58.0,60.3125,56.1875,59.875,3075700,43.501063
2000-05-12,60.25,65.0,60.0625,61.75,3294400,44.863309
2000-05-15,61.0,61.75,58.0,61.6875,2235400,44.817901
2000-05-16,66.0,68.875,65.25,67.75,3621100,49.222497
2000-05-17,69.875,75.375,68.5625,73.5,4915700,53.400053
2000-05-18,75.0,75.3125,72.625,73.1875,2996200,53.173011
2000-05-19,73.125,73.125,68.0625,70.0625,2445900,50.902601
2000-05-22,70.5,71.25,65.1875,70.0,2385800,50.857193
2000-05-23,71.0,71.0,66.5,67.75,1855900,49.222497
2000-05-24,67.8125,69.0,61.0,66.4375,2889600,48.268925
2000-05-25,68.125,71.3125,67.5,69.125,2439400,50.221478
2000-05-26,69.625,70.1875,63.875,67.9375,1385900,49.358722
2000-05-30,69.75,75.0,69.4375,75.0,2071400,54.48985
2000-05-31,76.0,79.25,75.125,77.0,2845700,55.942912
2000-06-01,79.0,84.625,78.0,83.0,2353900,60.3021
2000-06-02,92.25,93.1875,86.8125,89.0,4566700,64.661288
2000-06-05,87.625,88.5625,84.5,87.25,2233900,63.389858
2000-06-06,87.5,88.5,84.6875,84.875,1489900,61.664346
2000-06-07,85.875,89.9375,84.5625,88.625,2184300,64.388839
2000-06-08,90.0,96.25,89.9375,94.656197,4059500,68.770692
2000-06-09,95.125,95.1875,92.8125,94.718697,2410000,68.8161
2000-06-12,95.5,95.625,91.75,92.5,1923600,67.204148
2000-06-13,92.25,94.5,89.0625,94.5,1728500,68.65721
2000-06-14,94.5,95.375,88.4375,88.75,2163800,64.479655
2000-06-15,89.25,89.875,85.9375,87.5,2077600,63.571491
2000-06-16,89.375,91.3125,87.75,89.125,1784800,64.752104
2000-06-19,91.0,99.8125,90.0625,98.0,2764900,71.20007
2000-06-20,98.75,99.0,94.9375,96.0,2308800,69.747007
2000-06-21,95.75,98.875,93.875,97.0,2395500,70.473539
2000-06-22,97.5,100.0,93.375,94.125,3141200,68.384761
2000-06-23,96.0625,96.0625,90.125,90.625,1664000,65.841901
2000-06-26,90.5,95.0,89.25,90.3125,2618400,65.61486
2000-06-27,92.125,92.25,83.0625,85.75,3250200,62.300061
2000-06-28,85.125,85.625,81.375,83.453102,2853500,60.631293
2000-06-29,76.0,81.25,71.375,78.6875,6721100,57.168934
2000-06-30,78.6875,80.125,75.4375,76.0,4613900,55.216381
2000-07-03,77.0,80.1875,76.625,80.0625,1735700,58.167914
2000-07-05,75.25,75.3125,69.625,70.4375,4753500,51.17505
2000-07-06,70.1875,73.0,67.5,73.0,6154000,53.036787
2000-07-07,72.0,76.5625,70.875,76.0,3204100,55.216381
2000-07-10,75.875,79.4375,74.1875,75.375,2572500,54.762299
2000-07-11,75.0625,79.125,73.125,74.8125,2652800,54.353625
2000-07-12,76.0,79.6875,75.5,79.0,3224600,57.395975
2000-07-13,83.75,85.0,81.5,82.75,3469000,60.120467
2000-07-14,85.25,87.0,83.0,86.375,2261900,62.754143
2000-07-17,86.125,88.5,85.4375,88.3125,1719700,64.161798
2000-07-18,86.5,86.875,81.5625,83.0,2259800,60.3021
2000-07-19,83.0625,83.375,78.375,80.0,1780600,58.122506
2000-07-20,79.0625,80.625,72.9375,74.4375,3774700,54.081176
2000-07-21,73.0,74.9375,69.5625,74.0,3267500,53.763318
2000-07-24,74.25,75.0625,66.625,71.25,3487500,51.765357
2000-07-25,72.375,75.4375,71.8125,74.875,2611000,54.399033
2000-07-26,73.75,73.75,69.0,70.5,4456300,51.220459
2000-07-27,65.25,65.25,58.5,63.5,6652100,46.134739
