Date,Open,High,Low,Close,Volume,Adj Close
2001-06-15,13.16,13.16,12.75,12.86,511400,12.827295
2001-06-18,12.85,13.15,12.7,13.11,408000,13.076659
2001-06-19,13.4,13.6,13.15,13.55,216400,13.51554
2001-06-20,13.5,13.65,13.3,13.55,54400,13.51554
2001-06-21,13.53,13.9,13.52,13.88,80700,13.844701
2001-06-22,14.0,14.98,14.0,14.55,127900,14.512997
2001-06-25,14.75,14.85,14.4,14.65,87100,14.612742
2001-06-26,14.7,14.78,14.65,14.7,48900,14.662615
2001-06-27,14.6,15.15,14.55,15.11,139800,15.071573
2001-06-28,15.01,15.25,14.9,15.0,195100,14.961853
2001-06-29,15.1,15.9,15.0,15.0,130700,14.961853
2001-07-02,15.25,15.6,14.31,14.4,42000,14.363378
2001-07-03,14.45,15.05,14.45,14.97,35600,14.931929
2001-07-05,14.9,15.45,14.9,15.2,97100,15.161344
2001-07-06,15.4,15.4,14.75,14.95,149700,14.91198
2001-07-09,15.0,15.2,14.86,14.9,130000,14.862107
2001-07-10,14.9,15.1,14.7,14.7,189200,14.662615
2001-07-11,14.7,14.8,14.6,14.6,76800,14.56287
2001-07-12,14.7,15.21,14.7,15.21,177600,15.171319
2001-07-13,15.0,15.81,15.0,15.81,144200,15.769793
2001-07-16,15.81,15.81,15.21,15.5,38600,15.460581
2001-07-17,15.5,16.0,15.5,15.85,32900,15.809691
2001-07-18,15.8,16.75,15.5,16.75,102500,16.707402
2001-07-19,16.9,17.4,16.0,16.4,303700,16.358292
2001-07-20,16.4,16.4,14.7,14.95,82700,14.91198
2001-07-23,14.98,15.05,14.81,14.85,55500,14.812235
2001-07-24,14.85,14.85,14.0,14.1,45600,14.064142
2001-07-25,14.1,14.1,13.5,13.5,65800,13.465667
2001-07-26,13.5,13.9,13.5,13.75,653100,13.715032
2001-07-27,13.85,14.15,13.84,14.15,62000,14.114014
2001-07-30,14.15,14.5,14.15,14.38,54800,14.34343
2001-07-31,14.37,15.0,14.37,15.0,268500,14.961853
2001-08-01,14.9,15.4,14.9,15.0,19200,14.961853
2001-08-02,15.0,15.5,14.9,15.5,36900,15.460581
2001-08-03,15.5,15.5,15.3,15.5,34300,15.460581
2001-08-06,15.5,15.59,15.45,15.59,2700,15.550352
2001-08-07,15.59,15.69,15.3,15.4,23200,15.360835
2001-08-08,15.65,15.78,15.2,15.2,28500,15.161344
2001-08-09,15.25,15.25,14.85,14.99,9400,14.951878
2001-08-10,15.1,15.3,14.95,14.95,26800,14.91198
2001-08-13,14.95,15.89,14.95,15.45,55800,15.410708
2001-08-14,15.45,15.7,15.45,15.5,59200,15.460581
2001-08-15,15.65,16.15,15.51,16.15,29400,16.108928
2001-08-16,16.15,16.17,16.02,16.15,12300,16.108928
2001-08-17,16.190001,16.299999,16.190001,16.25,6100,16.208674
2001-08-20,16.15,16.4,16.15,16.4,36200,16.358292
2001-08-21,16.299999,16.65,16.299999,16.5,92800,16.458038
2001-08-22,16.4,16.4,15.6,15.75,11600,15.709945
2001-08-23,15.7,15.7,15.25,15.48,23500,15.440632
2001-08-24,15.4,15.47,14.95,15.09,11100,15.051624
2001-08-27,15.0,15.04,14.7,14.95,16900,14.91198
2001-08-28,14.85,14.89,14.4,14.89,10800,14.852133
2001-08-29,14.99,15.4,14.25,15.05,209600,15.011726
2001-08-30,15.0,15.1,14.75,15.01,388900,14.971828
2001-08-31,15.1,15.4,15.1,15.25,103800,15.211217
2001-09-04,15.35,15.4,15.31,15.4,17100,15.360835
2001-09-05,15.39,16.559999,15.39,16.25,108600,16.208674
2001-09-06,16.15,16.25,16.1,16.1,70100,16.059056
2001-09-07,16.049999,16.200001,16.049999,16.18,48500,16.138852
2001-09-10,16.15,16.200001,16.0,16.0,91400,15.95931
2001-09-17,14.5,14.5,13.9,13.9,28900,13.86465
2001-09-18,13.8,13.8,12.5,12.5,111300,12.468211
2001-09-19,12.5,12.5,11.1,11.4,23300,11.371008
2001-09-20,11.65,11.65,11.35,11.35,166200,11.321136
2001-09-21,11.1,12.0,11.05,12.0,280000,11.969482
2001-09-24,12.1,14.55,12.1,13.7,98800,13.665159
2001-09-25,14.0,14.9,14.0,14.31,54600,14.273608
2001-09-26,14.31,14.65,14.31,14.6,25100,14.56287
2001-09-27,14.55,15.9,14.55,15.8,65100,15.759818
2001-09-28,15.75,16.25,14.9,16.25,104400,16.208674
2001-10-01,16.049999,16.049999,14.9,14.91,180100,14.872081
2001-10-02,14.91,14.91,14.5,14.5,12600,14.463124
2001-10-03,14.51,14.51,14.45,14.45,57300,14.413251
2001-10-04,14.45,14.55,14.4,14.5,83300,14.463124
2001-10-05,14.5,14.51,14.4,14.4,49100,14.363378
2001-10-08,14.4,14.41,14.37,14.37,53900,14.333455
2001-10-09,14.32,14.33,14.32,14.33,13800,14.293557
2001-10-10,14.3,14.5,14.3,14.4,74000,14.363378
2001-10-11,14.5,14.6,14.5,14.6,118600,14.56287
2001-10-12,14.6,14.8,14.6,14.75,30700,14.712489
2001-10-15,14.76,14.9,14.75,14.9,62300,14.862107
2001-10-16,14.9,14.99,14.9,14.98,31700,14.941903
2001-10-17,15.25,15.45,15.21,15.31,106400,15.271065
2001-10-18,15.31,15.48,15.31,15.39,49100,15.350861
2001-10-19,15.39,15.45,15.3,15.4,52000,15.360835
2001-10-22,15.5,15.69,15.49,15.59,117100,15.550352
2001-10-23,15.59,15.76,15.58,15.76,44200,15.71992
2001-10-24,15.85,15.95,15.75,15.95,67000,15.909437
2001-10-25,15.85,16.200001,15.85,16.200001,21800,16.158802
2001-10-26,16.0,16.0,15.9,15.92,30700,15.879513
