Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,32.0,32.0,31.125,31.4375,396900,13.914155
2000-01-04,31.375,31.9375,31.375,31.8125,325500,14.080129
2000-01-05,31.8125,33.125,31.8125,33.0,392200,14.605714
2000-01-06,32.75,33.6875,32.75,33.1875,433000,14.688701
2000-01-07,33.375,33.75,33.0625,33.625,250500,14.882337
2000-01-10,33.625,33.8125,33.4375,33.5,307700,14.827013
2000-01-11,33.5,33.6875,33.5,33.625,223000,14.882337
2000-01-12,33.5625,33.9375,33.5,33.875,252500,14.992987
2000-01-13,33.875,34.0,33.625,33.8125,222400,14.965324
2000-01-14,33.875,33.875,33.5,33.8125,529900,14.965324
2000-01-18,33.6875,33.75,33.0,33.0,363800,14.605714
2000-01-19,33.0,33.625,33.0,33.4375,215500,14.79935
2000-01-20,33.375,33.375,33.0625,33.0625,278800,14.633376
2000-01-21,33.3125,34.0,33.1875,34.0,345000,15.048311
2000-01-24,34.0,34.4375,33.875,33.875,855500,14.992987
2000-01-25,33.875,34.125,32.625,32.875,964400,14.550389
2000-01-26,33.125,33.6875,32.875,33.6875,508500,14.91
2000-01-27,33.6875,34.125,33.3125,33.5625,923900,14.854675
2000-01-28,33.5625,33.625,32.875,33.0,357300,14.605714
2000-01-31,33.1875,33.5625,33.0,33.5,209900,14.827013
2000-02-01,33.5,33.75,33.0625,33.6875,318200,14.91
2000-02-02,33.625,34.0625,33.5625,33.625,765300,14.882337
2000-02-03,33.6875,34.8125,33.6875,34.75,536200,15.380259
2000-02-04,34.9375,34.9375,33.875,34.0625,1106200,15.075974
2000-02-07,34.0,34.0,33.5625,33.6875,2040500,14.91
2000-02-08,33.125,33.5,33.0625,33.3125,461400,15.01139
2000-02-09,33.25,33.25,32.5,32.5625,307500,14.673422
2000-02-10,32.5625,32.5625,31.4375,31.625,399000,14.250963
2000-02-11,31.625,31.9375,31.3125,31.8125,339400,14.335455
2000-02-14,31.8125,32.3125,31.6875,31.75,317600,14.307291
2000-02-15,31.75,31.8125,31.3125,31.3125,234600,14.110143
2000-02-16,31.125,31.3125,30.6875,30.6875,367900,13.828504
2000-02-17,30.75,30.75,30.3125,30.4375,287100,13.715848
2000-02-18,30.125,30.1875,29.8125,29.9375,510500,13.490536
2000-02-22,30.0,30.5625,29.9375,30.4375,410600,13.715848
2000-02-23,30.375,30.375,29.625,30.0,356400,13.5187
2000-02-24,29.75,29.8125,28.375,28.9375,653000,13.039913
2000-02-25,28.875,28.875,28.0,28.1875,798200,12.701945
2000-02-28,28.375,29.125,28.125,28.75,335700,12.955421
2000-02-29,28.75,28.75,28.0625,28.125,365600,12.673781
2000-03-01,28.125,28.1875,27.5,27.5625,324200,12.420306
2000-03-02,27.5625,27.8125,27.5625,27.5625,455900,12.420306
2000-03-03,27.5625,27.8125,27.0625,27.3125,595000,12.30765
2000-03-06,27.3125,27.3125,25.9375,26.1875,386100,11.800699
2000-03-07,26.6875,27.9375,26.5625,27.0,828200,12.16683
2000-03-08,26.75,26.9375,26.625,26.75,442100,12.054174
2000-03-09,26.8125,27.0,26.375,26.625,430200,11.997846
2000-03-10,26.6875,26.75,26.0,26.0625,687100,11.744371
2000-03-13,26.625,28.375,26.125,26.5,555600,11.941518
2000-03-14,26.5,26.9375,26.1875,26.875,458400,12.110502
2000-03-15,27.125,29.125,27.0,28.75,744900,12.955421
