Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,55.375,55.8125,55.0625,55.5625,5770400,6.29082
2000-01-04,55.0,55.0625,54.375,54.625,13493600,6.184675
2000-01-05,54.5625,55.375,54.25,54.25,6755200,6.142218
2000-01-06,54.25,54.6875,53.75,54.3125,17097600,6.149294
2000-01-07,54.25,58.1875,54.25,57.875,18564000,6.552642
2000-01-10,56.75,56.9375,56.3125,56.8125,11008000,6.432345
2000-01-11,56.8125,58.625,56.375,56.875,10101600,6.439422
2000-01-12,57.5,58.3125,56.625,56.6875,5215200,6.418193
2000-01-13,56.9375,58.0,56.3125,57.3125,6489600,6.488956
2000-01-14,57.3125,57.4375,56.0625,56.25,7208000,6.368659
2000-01-18,55.75,56.875,55.5,56.25,6100000,6.368659
2000-01-19,56.125,56.9375,55.9375,56.0,5058400,6.340354
2000-01-20,56.125,56.25,55.625,55.625,5505600,6.297896
2000-01-21,56.0,56.0,55.4375,55.6875,6024800,6.304972
2000-01-24,56.0,56.0,55.25,55.375,6185600,6.269591
2000-01-25,55.625,55.625,55.125,55.3125,7375200,6.262515
2000-01-26,55.375,55.5,55.0,55.25,4810400,6.278139
2000-01-27,55.75,55.9375,53.25,53.5625,5179200,6.086386
2000-01-28,53.6875,54.125,53.25,53.5,4490400,6.079284
2000-01-31,53.25,53.5,53.0,53.25,3978400,6.050876
2000-02-01,54.875,57.875,54.5625,56.625,14019200,6.434383
2000-02-02,56.5,56.75,54.75,55.375,8821600,6.292343
2000-02-03,55.625,55.875,55.125,55.75,5902400,6.334955
2000-02-04,55.5,56.5,55.25,56.0,3845600,6.363363
2000-02-07,55.75,57.125,55.375,55.75,5784000,6.334955
2000-02-08,49.0,49.875,45.75,46.0,40354400,5.227048
2000-02-09,45.75,45.75,41.0,42.5,32541600,4.829338
2000-02-10,42.0625,42.4375,39.4375,40.25,32974400,4.573667
2000-02-11,40.5,41.1875,39.75,40.0,15027200,4.545259
2000-02-14,40.0,40.9375,38.8125,39.0,12987200,4.431628
2000-02-15,39.25,40.25,38.5625,40.0,10900000,4.545259
2000-02-16,40.1875,42.8125,40.0625,41.375,10563200,4.701502
2000-02-17,41.125,41.875,40.125,40.3125,6324800,4.580769
2000-02-18,39.8125,40.125,38.5,38.6875,6916000,4.396118
2000-02-22,38.6875,39.75,38.5625,39.25,5016000,4.460036
2000-02-23,38.875,40.75,38.5,40.25,9962400,4.573667
2000-02-24,40.5,41.125,38.9375,40.5625,12272800,4.609177
2000-02-25,41.375,43.0,39.3125,41.125,26804800,4.673095
2000-02-28,40.875,41.25,39.0,39.5,13607200,4.488443
2000-02-29,42.0,42.0,39.75,41.125,11625600,4.673095
2000-03-01,41.8125,55.0,41.25,53.0,31341600,6.022468
2000-03-02,58.0,61.875,55.3125,55.8125,54920800,6.342057
2000-03-03,57.0,57.75,53.25,53.4375,20495200,6.072182
2000-03-06,53.5,53.5,51.0,51.5,8241600,5.852021
2000-03-07,51.5,51.9375,50.0,51.1875,10668000,5.816511
2000-03-08,51.0625,55.0,50.5,54.125,8802400,6.150304
2000-03-09,55.0,57.8125,54.3125,57.0,17109600,6.476994
2000-03-10,57.0,58.6875,54.75,56.0,13265600,6.363363
2000-03-13,49.25,52.3125,47.0,50.75,21984800,5.766798
2000-03-14,51.0,53.875,50.0,51.1875,18509600,5.816511
2000-03-15,51.5,51.875,49.375,51.0,10189600,5.795205
2000-03-16,51.125,53.625,50.875,53.625,7257600,6.093488
2000-03-17,53.625,56.25,52.875,54.0,12300000,6.1361
2000-03-20,54.25,54.4375,52.5,53.1875,4586400,6.043774
2000-03-21,53.1875,53.1875,51.1875,51.9375,9512800,5.901735
2000-03-22,52.125,53.875,51.75,53.625,4827200,6.093488
2000-03-23,53.0,55.1875,52.5625,55.0625,7561600,6.256833
2000-03-24,54.25,57.0,54.125,57.0,7455200,6.476994
2000-03-27,57.0,57.0,54.125,55.625,7376000,6.320751
2000-03-28,54.5,56.375,54.0625,55.75,5700800,6.334955
2000-03-29,55.0,55.5,53.0,53.5,5367200,6.079284
2000-03-30,53.125,53.9375,52.25,53.0,8035200,6.022468
2000-03-31,54.0,55.9375,54.0,55.5,9004800,6.306547
2000-04-03,55.75,57.8125,55.5625,56.875,9414400,6.46279
2000-04-04,56.75,57.6875,53.125,56.5625,13502400,6.427281
2000-04-05,55.625,57.9375,54.125,56.9375,7649600,6.469892
2000-04-06,56.75,58.25,55.375,56.75,7037600,6.448586
2000-04-07,56.75,57.375,55.1875,56.75,9920000,6.448586
2000-04-10,56.5,59.0,56.0625,58.0625,7192000,6.597728
2000-04-11,58.0625,60.0,57.75,58.25,11752000,6.619034
2000-04-12,58.0,58.9375,56.5,56.8125,8936800,6.455688
2000-04-13,57.0625,57.875,55.625,57.25,5637600,6.505402
2000-04-14,57.25,57.25,52.25,53.5,8185600,6.079284
2000-04-17,53.25,53.75,51.5,52.25,4593600,5.937245
2000-04-18,52.25,53.25,51.6875,52.9375,3340800,6.015366
2000-04-19,52.75,54.375,52.5,53.25,3493600,6.050876
2000-04-20,53.0625,55.1875,53.0,54.375,6368000,6.178712
2000-04-24,53.625,56.5,53.4375,56.125,4148800,6.377567
2000-04-25,56.375,57.875,54.6875,55.375,6122400,6.292343
2000-04-26,56.0,56.6875,54.875,55.1875,4804800,6.293768
2000-04-27,56.5,59.9375,55.5,59.9375,14047200,6.835474
2000-04-28,59.0,59.5,56.25,57.875,10364800,6.60026
2000-05-01,56.5,58.375,55.3125,58.0,7491200,6.614515
2000-05-02,58.3125,58.625,56.375,57.0625,5574400,6.5076
2000-05-03,57.25,57.25,55.4375,55.75,4330400,6.357918
2000-05-04,56.0,56.1875,55.4375,55.625,3128000,6.343662
2000-05-05,55.625,56.75,55.625,56.375,1920000,6.429195
2000-05-08,56.3125,58.375,56.3125,58.0,6570400,6.614515
2000-05-09,58.0,58.6875,58.0,58.4375,6975200,6.664409
2000-05-10,59.0,59.625,58.1875,58.4375,5901600,6.664409
2000-05-11,58.625,58.6875,57.5625,57.875,2066400,6.60026
2000-05-12,57.5,59.0,57.5,58.75,3048000,6.700048
2000-05-15,58.75,61.9375,58.5,60.5625,11748800,6.906752
2000-05-16,61.0,61.4375,59.3125,59.5625,6266400,6.792708
2000-05-17,59.0625,59.9375,58.0625,58.6875,3632800,6.69292
2000-05-18,58.8125,59.375,58.6875,59.0,4862400,6.728559
2000-05-19,58.375,61.6875,58.3125,61.6875,9336000,7.03505
2000-05-22,62.25,66.875,61.75,66.25,18458400,7.555373
2000-05-23,66.1875,66.5625,63.875,64.25,9775200,7.327287
2000-05-24,65.125,66.625,63.625,64.5,8581600,7.355797
2000-05-25,64.5625,65.25,63.875,65.0,7384000,7.412819
2000-05-26,65.25,66.0,64.0,64.0625,5619200,7.305903
2000-05-30,64.3125,66.0,62.375,62.6875,11553600,7.149094
2000-05-31,62.4375,69.0,61.75,66.75,23416800,7.612395
2000-06-01,69.5,69.9375,68.0625,68.5625,10478400,7.819099
2000-06-02,67.5,69.5,67.3125,68.9375,13075200,7.861865
2000-06-05,68.0,69.125,66.0,66.3125,5834400,7.562501
2000-06-06,66.5,68.25,66.5,68.125,8495200,7.769205
2000-06-07,67.875,67.875,66.5,67.5,7046400,7.697927
2000-06-08,67.5,67.5,65.0,66.0,4220800,7.526862
2000-06-09,67.5,67.6875,66.875,67.375,2836800,7.683672
