Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,63.75,63.875,62.6875,63.625,258400,8.615349
2000-01-04,63.0,63.0,60.125,60.75,140400,8.22605
2000-01-05,60.125,61.3125,59.5,61.0,177600,8.259902
2000-01-06,61.0,61.5,60.625,60.890598,214800,8.245089
2000-01-07,62.0,63.625,60.75,63.25,235600,8.564571
2000-01-10,62.0,62.375,60.875,60.9375,212000,8.251439
2000-01-11,60.9375,60.9375,59.25,60.5625,136800,8.200661
2000-01-12,60.3125,60.875,60.0,60.0625,72800,8.132957
2000-01-13,59.8125,60.0,59.375,59.9375,136400,8.116031
2000-01-14,59.9375,60.375,59.4375,59.625,157200,8.073716
2000-01-18,60.5,60.5,60.0625,60.0625,199600,8.132957
2000-01-19,59.875,60.375,59.625,60.0,238400,8.124494
2000-01-20,60.25,60.25,59.625,59.9375,177200,8.116031
2000-01-21,59.6875,59.6875,57.125,57.125,260800,7.735196
2000-01-24,56.875,57.75,56.375,56.5625,410800,7.659028
2000-01-25,56.5625,56.5625,55.75,55.75,196400,7.549009
2000-01-26,56.0,57.0625,56.0,56.9375,162400,7.709807
2000-01-27,57.1875,57.1875,55.3125,55.375,233600,7.498231
2000-01-28,55.0,56.25,54.0625,54.0625,144800,7.320508
2000-01-31,54.5625,54.6875,53.375,53.75,161600,7.278193
2000-02-01,54.0,54.6875,53.6875,54.5625,138000,7.388212
2000-02-02,54.8125,55.25,54.625,54.8125,134000,7.422064
2000-02-03,55.25,59.125,55.25,58.875,538000,7.97216
2000-02-04,59.5,59.5,57.9375,58.6875,143600,7.946771
2000-02-07,58.625,59.125,56.0,56.0,113200,7.582861
2000-02-08,55.75,55.8125,54.9375,55.6875,226800,7.540546
2000-02-09,55.75,56.125,55.4375,56.125,154400,7.599787
2000-02-10,56.125,59.0,56.125,56.5,282800,7.650565
2000-02-11,56.125,56.6875,54.0,54.25,130400,7.345897
2000-02-14,54.25,54.25,52.75,53.4375,210800,7.235878
2000-02-15,53.1875,53.6875,52.125,52.75,114400,7.142785
2000-02-16,52.6875,53.0,52.125,52.9375,85200,7.168174
2000-02-17,52.375,52.625,51.25,51.6875,118800,6.998913
2000-02-18,51.4375,51.4375,49.625,49.6875,148800,6.728097
2000-02-22,49.6875,49.6875,48.0,48.6875,454400,6.592689
2000-02-23,48.9375,50.0,48.875,50.0,185600,6.770412
2000-02-24,50.125,50.375,49.0,49.8125,113600,6.745023
2000-02-25,49.8125,49.8125,48.8125,48.8125,94800,6.609615
2000-02-28,49.5,50.6875,49.1875,50.3125,166000,6.812727
2000-02-29,50.0625,51.5,50.0625,51.125,194800,6.922746
2000-03-01,50.9375,52.0,50.25,50.25,153200,6.804264
2000-03-02,50.5,51.75,50.5,51.0625,146800,6.914283
2000-03-03,50.75,50.75,49.8125,50.0,194000,6.770412
2000-03-06,49.75,50.0,46.75,47.0,228800,6.364187
2000-03-07,47.5,47.5,46.875,47.375,74000,6.414965
2000-03-08,47.3125,47.375,46.125,47.0,120800,6.364187
