Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,19.3125,19.3125,18.0,18.0,134000,6.735398
2000-01-04,17.75,18.5625,17.75,18.0,68200,6.735398
2000-01-05,18.0,18.5,18.0,18.3125,70000,6.852332
2000-01-06,18.1875,19.0,18.0625,18.9375,78600,7.086199
2000-01-07,18.875,18.9375,18.5,18.625,71800,6.969265
2000-01-10,18.6875,18.6875,18.375,18.5625,67000,6.945879
2000-01-11,18.625,18.6875,18.5,18.5,68200,6.922492
2000-01-12,18.5,18.625,18.4375,18.625,93000,6.969265
2000-01-13,18.625,19.0,18.5,18.875,94400,7.062813
2000-01-14,19.0,19.0,18.5,18.5,118000,6.922492
2000-01-18,18.375,18.375,17.875,18.125,74000,6.782171
2000-01-19,18.125,18.4375,18.0,18.1875,106000,6.805558
2000-01-20,18.25,18.625,17.75,17.9375,77400,6.712011
2000-01-21,18.0625,18.375,17.75,18.1875,111200,6.805558
2000-01-24,18.5625,18.5625,17.875,17.875,120400,6.688624
2000-01-25,17.9375,17.9375,17.125,17.125,67200,6.407982
2000-01-26,17.1875,17.75,17.125,17.75,91200,6.64185
2000-01-27,17.875,18.1875,17.875,18.0625,83000,6.758784
2000-01-28,18.0625,18.3125,17.5,17.625,90800,6.595077
2000-01-31,17.6875,18.375,17.6875,18.0625,114600,6.758784
2000-02-01,18.0,18.0,17.3125,17.5625,59000,6.57169
2000-02-02,17.4375,17.875,17.3125,17.625,122200,6.595077
2000-02-03,17.625,17.75,17.375,17.625,61600,6.595077
2000-02-04,17.5625,17.5625,17.125,17.375,101400,6.50153
2000-02-07,17.125,17.375,17.0,17.375,62200,6.50153
2000-02-08,17.5625,17.6875,17.0,17.125,70800,6.407982
2000-02-09,17.25,17.625,16.625,16.875,98800,6.314435
2000-02-10,16.8125,17.0,16.4375,16.875,522200,6.314435
2000-02-11,16.875,17.0625,15.9375,16.0,135000,5.98702
2000-02-14,15.9375,16.5,15.8125,16.4375,56200,6.150728
2000-02-15,16.625,16.875,16.3125,16.875,76200,6.314435
2000-02-16,16.875,17.0625,16.25,16.25,86000,6.080567
2000-02-17,16.4375,16.9375,16.375,16.5,82400,6.174114
2000-02-18,16.5625,16.5625,15.875,15.9375,60400,5.963633
2000-02-22,15.9375,16.0,15.625,15.9375,123800,5.963633
2000-02-23,16.0625,16.1875,15.375,15.75,95600,5.893473
2000-02-24,15.75,15.875,15.3125,15.375,41400,5.753152
2000-02-25,15.4375,15.5,15.25,15.3125,63600,5.729765
