Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,35.5,36.0,35.0,35.0,900400,8.374914
2000-01-04,35.1875,35.375,34.5,34.5625,892000,8.270227
2000-01-05,34.8125,35.0,34.0625,34.75,1016800,8.315093
2000-01-06,34.75,35.0625,34.125,34.7812,1045200,8.322559
2000-01-07,35.0625,36.3125,34.75,36.0625,1304800,8.629152
2000-01-10,36.3125,36.875,35.25,35.4375,1474800,8.4796
2000-01-11,35.875,36.4375,35.4375,35.4375,1962800,8.4796
2000-01-12,35.6875,36.0,34.375,34.4375,1040400,8.240317
2000-01-13,34.0625,34.8125,33.875,34.375,1389600,8.225362
2000-01-14,34.5,34.8125,34.0,34.1875,1209200,8.180496
2000-01-18,34.3125,34.4375,34.125,34.125,765600,8.165541
2000-01-19,34.0625,34.25,33.25,33.3125,941200,7.971123
2000-01-20,33.375,33.6875,32.3125,32.5,1241600,7.776706
2000-01-21,32.0,32.5625,31.1875,31.8125,1471600,7.612198
2000-01-24,31.875,32.0,30.125,30.125,1567200,7.208408
2000-01-25,30.375,30.9375,30.3125,30.5,938000,7.298139
2000-01-26,30.5,32.75,30.3125,32.25,1780000,7.716885
2000-01-27,32.375,32.375,31.75,31.875,959200,7.627154
2000-01-28,32.0625,32.875,32.0,32.625,824000,7.806616
2000-01-31,32.5,32.6875,31.875,31.875,1047200,7.627154
2000-02-01,29.875,32.6875,29.5,31.75,3467600,7.597243
2000-02-02,31.625,32.125,30.9375,31.8125,1629600,7.612198
2000-02-03,31.375,31.5625,30.875,31.125,1693200,7.447691
2000-02-04,31.0625,31.1875,30.6875,30.6875,942400,7.343005
2000-02-07,30.4375,31.0,30.1875,30.375,1138800,7.268229
2000-02-08,30.375,30.375,29.8125,30.0625,1420400,7.193453
2000-02-09,30.0,30.0,29.5625,29.5625,782800,7.073811
2000-02-10,29.9375,30.1875,29.1875,29.8125,1642800,7.133632
2000-02-11,29.625,29.8125,29.1875,29.1875,482400,6.98408
2000-02-14,29.125,29.1875,27.0625,27.3125,1692000,6.535424
2000-02-15,27.5,28.0,27.0,27.6875,1457200,6.625155
2000-02-16,27.6875,28.1875,27.4375,27.8125,1769200,6.655065
2000-02-17,27.9375,28.5625,27.8125,28.375,1376800,6.789662
2000-02-18,28.5625,28.6875,27.75,28.125,898000,6.729841
2000-02-22,28.125,28.125,27.25,27.4375,1195200,6.565334
2000-02-23,27.5625,27.5625,27.0625,27.125,1871600,6.490558
2000-02-24,27.1875,27.3125,26.625,27.25,713200,6.520469
2000-02-25,27.0,27.0625,26.5,26.625,616000,6.370916
2000-02-28,26.5,27.5625,26.5,27.0625,621600,6.475603
2000-02-29,27.3125,27.3125,26.125,26.5,987600,6.341006
2000-03-01,26.75,27.375,26.625,26.6875,907200,6.385872
2000-03-02,26.5625,26.6875,26.0,26.125,638800,6.251275
2000-03-03,26.1875,27.3125,25.875,27.1875,1117600,6.505513
2000-03-06,26.9375,27.0,25.625,26.0625,1013200,6.23632
2000-03-07,26.1875,26.1875,25.25,25.5,880000,6.101723
2000-03-08,25.75,27.0,25.75,26.75,1961600,6.400827
2000-03-09,26.25,27.125,25.5,26.0,1833200,6.221364
2000-03-10,26.375,27.4375,26.1875,26.875,888400,6.430737
2000-03-13,26.875,27.25,26.0,27.0625,730400,6.475603
2000-03-14,27.125,27.375,25.625,25.9375,1840400,6.206409
2000-03-15,26.125,30.3125,26.125,30.0625,2609600,7.193453
2000-03-16,30.3125,33.25,29.875,32.5,2004800,7.776706
2000-03-17,32.25,32.625,30.4375,30.6875,1437600,7.343005
2000-03-20,29.0,30.625,28.875,30.0,2272000,7.178497
2000-03-21,30.0,32.1875,29.875,31.625,1236400,7.567333
2000-03-22,31.6875,31.6875,28.875,28.9375,3377200,6.924259
2000-03-23,28.9375,30.375,28.5625,30.375,1602000,7.268229
2000-03-24,30.1875,31.0625,29.0,29.0625,2410000,6.954169
2000-03-27,29.125,29.8125,28.6875,28.9375,701600,6.924259
2000-03-28,29.125,30.0,29.125,29.75,1496800,7.118677
2000-03-29,29.875,30.4375,29.0,29.25,1274800,6.999035
2000-03-30,29.5,29.5,28.75,28.8125,1140000,6.894349
2000-03-31,28.75,30.1875,28.6875,30.0625,1852000,7.193453
2000-04-03,30.0,30.125,28.75,29.0,1118800,6.939214
2000-04-04,29.25,29.8125,28.0625,29.0,1284000,6.939214
2000-04-05,29.0625,31.5,29.0,31.0,1430000,7.417781
2000-04-06,30.875,31.375,30.75,30.875,573200,7.38787
2000-04-07,30.625,30.9375,29.625,29.9375,562800,7.163542
2000-04-10,30.0,30.75,30.0,30.375,758800,7.268229
2000-04-11,30.625,31.5,30.5,31.375,862400,7.507512
2000-04-12,31.625,31.875,31.0,31.375,886000,7.507512
2000-04-13,31.625,31.625,31.125,31.1875,1628400,7.462646
2000-04-14,31.0,31.0625,28.9375,29.625,1247600,7.088766
2000-04-17,29.25,29.4375,28.5,28.9375,1144000,6.924259
2000-04-18,28.9375,30.0,28.875,29.75,961600,7.118677
2000-04-19,29.375,30.9375,28.9375,30.4375,1197200,7.283184
2000-04-20,30.4375,30.4375,29.125,29.75,699200,7.118677
2000-04-24,29.75,29.75,28.125,28.4375,994800,6.804617
2000-04-25,28.625,29.75,28.625,29.75,583600,7.118677
2000-04-26,29.75,29.75,28.625,28.9375,1038000,6.924259
2000-04-27,28.75,28.9375,28.25,28.75,564000,6.879393
2000-04-28,28.75,29.0,28.1875,28.75,638000,6.879393
2000-05-01,28.6875,30.25,28.625,29.875,820400,7.148587
2000-05-02,29.75,30.0625,28.8125,29.25,627200,6.999035
2000-05-03,29.3125,29.3125,28.8125,28.875,570000,6.909304
2000-05-04,29.5,29.8125,29.375,29.6875,692800,7.103721
2000-05-05,29.6875,30.75,29.625,30.125,741200,7.208408
2000-05-08,30.375,31.25,30.0625,31.0,778800,7.417781
2000-05-09,31.0625,31.1875,29.4375,30.25,903200,7.238318
2000-05-10,30.0625,30.5625,29.25,29.5,670400,7.058856
2000-05-11,29.5,30.125,29.5,29.8125,817200,7.133632
2000-05-12,29.75,29.9375,28.5,28.75,1062400,6.879393
2000-05-15,28.8125,29.5,28.5,29.1875,599600,6.98408
2000-05-16,29.0,29.8125,28.75,29.8125,1046400,7.133632
2000-05-17,29.5625,30.875,29.5,30.125,688000,7.208408
2000-05-18,30.0,30.0625,28.75,29.0625,513600,6.954169
2000-05-19,29.0,29.0,28.625,28.625,407600,6.849483
2000-05-22,28.625,28.8125,27.9375,27.9375,772400,6.684976
2000-05-23,27.9375,28.6875,27.9375,28.5625,624400,6.834528
2000-05-24,32.0,32.0625,29.5,30.0,3803600,7.178497
2000-05-25,30.125,30.75,30.125,30.4375,1075200,7.283184
2000-05-26,30.4375,30.4375,30.0625,30.0625,584000,7.193453
2000-05-30,30.125,31.3125,30.125,31.125,850800,7.447691
2000-05-31,31.125,31.25,31.0625,31.125,764400,7.447691
2000-06-01,31.25,31.9375,31.1875,31.9375,485200,7.642109
2000-06-02,33.125,33.1875,28.125,30.75,4353200,7.35796
2000-06-05,30.5,30.875,29.625,30.0,1676000,7.178497
2000-06-06,30.25,30.4375,29.0625,29.75,1103200,7.118677
2000-06-07,29.875,30.5,29.25,30.375,1778400,7.268229
2000-06-08,30.25,30.9375,30.0,30.9375,639600,7.402826
2000-06-09,30.8125,31.625,30.75,31.4375,936400,7.522467
2000-06-12,31.5,31.5,29.375,29.875,969600,7.148587
