Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,72.25,72.375,71.375,71.375,420200,44.729907
2000-01-04,68.625,70.9375,68.3125,70.4375,642700,44.142387
2000-01-05,70.125,73.875,70.125,72.75,477700,45.591604
2000-01-06,72.0,75.4375,71.875,75.3125,536100,47.197494
2000-01-07,75.3125,76.625,74.625,75.5625,679900,47.354166
2000-01-10,75.8125,78.125,75.625,78.0,883400,48.88172
2000-01-11,77.75,78.5,76.875,77.5625,724100,48.607544
2000-01-12,77.3125,77.3125,75.9375,76.875,603400,48.176695
2000-01-13,76.875,77.1875,74.375,76.25,374800,47.785015
2000-01-14,76.5,76.625,74.25,76.5,349300,47.941687
2000-01-18,74.6875,75.6875,73.25,74.9375,490200,46.962486
2000-01-19,73.0,73.25,67.125,68.6875,1630200,43.045681
2000-01-20,68.25,68.25,66.375,66.5,815700,41.6748
2000-01-21,67.25,69.5,67.25,69.5,473700,43.554866
2000-01-24,69.25,69.3125,67.125,67.3125,261900,42.183984
2000-01-25,67.3125,68.375,66.875,68.25,382200,42.771505
2000-01-26,68.25,70.6875,67.3125,68.875,425700,43.163186
2000-01-27,69.125,70.5625,67.625,68.4375,289100,42.889009
2000-01-28,68.4375,68.4375,66.5,66.5,259800,41.6748
2000-01-31,66.5,68.5,65.375,67.75,303900,42.458161
2000-02-01,67.25,67.25,66.125,67.0625,293300,42.027312
2000-02-02,67.3125,67.375,66.1875,66.625,261800,41.753136
2000-02-03,66.125,67.75,66.0,66.0625,363500,41.400623
2000-02-04,66.0,67.9375,64.5,67.125,418800,42.06648
2000-02-07,67.125,67.125,64.3125,65.8125,291400,41.243951
2000-02-08,65.5625,66.0,64.5,65.75,207200,41.204783
2000-02-09,65.5,65.5,64.0,64.625,182400,40.499758
2000-02-10,64.625,65.0625,63.375,65.0,247100,40.734767
2000-02-11,65.0625,65.75,62.625,63.4375,236100,39.755566
2000-02-14,63.4375,66.0,62.6875,65.6875,272600,41.165615
2000-02-15,65.5625,67.75,64.875,67.5,353100,42.301489
2000-02-16,67.75,67.75,64.125,65.6875,208700,41.165615
2000-02-17,65.5625,66.9375,64.1875,66.9375,237600,41.948976
2000-02-18,66.875,66.875,61.875,63.25,327800,39.638061
2000-02-22,63.25,65.25,63.25,64.6875,278800,40.538926
2000-02-23,64.5,65.5,63.375,64.5,330000,40.421422
2000-02-24,64.5,64.5,60.875,61.875,404200,38.776364
2000-02-25,61.25,61.375,59.6875,60.75,362400,38.07134
2000-02-28,60.5,60.8125,59.5625,59.9375,384000,37.729844
2000-02-29,60.0,60.8125,59.5,60.6875,393600,38.201958
2000-03-01,60.1875,60.1875,58.125,58.6875,339700,36.942986
2000-03-02,59.375,60.5,58.6875,60.125,545700,37.847872
2000-03-03,62.0,63.875,61.6875,63.375,351400,39.893703
2000-03-06,63.125,63.25,58.3125,58.4375,503700,36.785614
2000-03-07,58.5,58.5,55.25,55.3125,648800,34.818469
2000-03-08,55.375,57.5,54.8125,57.375,567200,36.116785
2000-03-09,57.5,59.75,57.125,59.6875,597400,37.572472
2000-03-10,59.5625,61.5,59.5,60.5,347000,38.08393
2000-03-13,60.625,60.625,57.6875,58.9375,480600,37.100357
2000-03-14,58.6875,58.875,56.25,58.0625,374900,36.549557
2000-03-15,58.3125,63.25,58.3125,62.8125,459500,39.539617
2000-03-16,63.0,70.0,62.8125,67.6875,553500,42.608364
2000-03-17,67.0,67.25,63.25,63.3125,486200,39.85436
2000-03-20,63.4375,66.8125,63.4375,64.0,299000,40.287132
2000-03-21,63.9375,64.5,61.625,64.0,374700,40.287132
2000-03-22,63.125,63.25,60.25,62.125,399000,39.106845
2000-03-23,61.625,64.6875,61.5,64.5625,443100,40.641218
2000-03-24,63.9375,64.125,58.875,60.625,657000,38.162616
2000-03-27,60.0,62.5,56.875,58.4375,451700,36.785614
2000-03-28,58.5625,59.75,57.1875,57.4375,417600,36.156127
2000-03-29,57.9375,59.25,57.25,58.9375,507300,37.100357
2000-03-30,59.1875,61.75,58.8125,60.9375,478200,38.35933
2000-03-31,60.3125,62.625,60.3125,61.0625,268300,38.438016
2000-04-03,60.8125,60.9375,58.75,59.4375,470800,37.4151
2000-04-04,58.8125,61.125,57.4375,59.375,381200,37.375757
2000-04-05,59.125,60.5,58.0625,58.375,205300,36.746271
2000-04-06,58.1875,58.4375,57.625,58.125,247000,36.588899
2000-04-07,57.25,57.9375,56.25,57.75,581500,36.352842
2000-04-10,57.875,61.5,57.6875,59.75,315300,37.611815
2000-04-11,59.5,64.25,59.4375,63.75,478000,40.129761
2000-04-12,63.5,67.375,63.125,66.1875,561900,41.664134
2000-04-13,65.9375,68.0,65.625,67.375,649600,42.411649
2000-04-14,66.75,66.75,60.8125,61.1875,472600,38.516702
2000-04-17,61.25,62.625,59.5,62.375,400500,39.264217
2000-04-18,62.125,62.6875,60.0625,62.0,413600,39.028159
2000-04-19,61.75,62.25,60.0625,60.625,257000,38.162616
2000-04-20,60.5625,63.0,59.125,62.625,325700,39.421588
2000-04-24,62.375,63.5,59.625,60.3125,281400,37.965901
2000-04-25,60.375,63.6875,59.1875,63.4375,872700,39.933046
2000-04-26,63.1875,65.0,61.8125,64.6875,601700,40.719904
2000-04-27,62.8125,67.0,62.8125,65.1875,590900,41.034647
2000-04-28,63.5,68.75,63.5,65.625,630700,41.310048
2000-05-01,65.125,67.5625,65.125,65.6875,331400,41.349391
2000-05-02,66.0625,67.3125,65.4375,65.75,393400,41.388734
2000-05-03,65.5625,66.75,65.4375,65.6875,431100,41.349391
2000-05-04,65.6875,67.625,64.6875,66.9375,284200,42.136249
2000-05-05,66.6875,67.6875,65.75,67.25,237700,42.332963
2000-05-08,67.25,68.5625,65.875,66.1875,360100,41.664134
2000-05-09,66.1875,67.0,65.4375,65.625,377400,41.310048
2000-05-10,64.0,66.625,63.875,66.125,466500,41.624791
2000-05-11,65.875,67.5,65.3125,67.375,413800,42.411649
2000-05-12,67.3125,67.3125,64.3125,65.4375,309700,41.192019
2000-05-15,66.25,68.125,65.8125,66.5,472500,41.860848
2000-05-16,66.4375,67.3125,65.0,66.625,436100,41.939534
2000-05-17,66.25,66.8125,65.4375,66.5,196200,41.860848
2000-05-18,65.625,66.0,64.0,64.9375,329400,40.877276
2000-05-19,64.0,64.5,63.625,63.9375,260400,40.247789
2000-05-22,64.0,64.25,62.75,62.9375,319000,39.618303
2000-05-23,63.0625,63.1875,61.5,62.5625,317500,39.382246
2000-05-24,62.8125,65.1875,62.8125,64.6875,361700,40.719904
2000-05-25,64.6875,64.6875,60.0,61.5625,390400,38.752759
2000-05-26,61.8125,63.0625,61.5625,62.6875,240200,39.460931
2000-05-30,62.6875,65.0,61.75,63.6875,452400,40.090418
2000-05-31,63.5625,63.5625,61.0,61.25,408900,38.556045
2000-06-01,62.625,63.0625,60.75,62.8125,403200,39.539617
2000-06-02,63.4375,64.5,63.4375,63.6875,332200,40.090418
2000-06-05,63.5625,63.875,62.6875,63.8125,223500,40.340121
2000-06-06,63.625,64.1875,62.3125,63.1875,206900,39.945017
2000-06-07,63.3125,64.4375,63.1875,63.5625,241100,40.18208
2000-06-08,63.3125,63.3125,62.0625,62.75,160000,39.668444
2000-06-09,63.0,63.5625,62.0,63.1875,147000,39.945017
2000-06-12,63.25,64.375,62.5625,63.0,127400,39.826486
2000-06-13,63.0625,63.6875,63.0,63.125,151700,39.905507
2000-06-14,63.375,66.5625,63.375,65.1875,352700,41.20935
2000-06-15,65.0,65.875,63.5625,64.625,211500,40.853757
2000-06-16,64.0,67.0,64.0,66.875,471900,42.276131
