Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,33.75,34.625,32.6875,33.0,3056600,16.361325
2000-01-04,33.875,33.875,30.8125,30.9375,3169600,15.338742
2000-01-05,30.9375,32.0,30.625,31.375,3022000,15.555654
2000-01-06,31.125,32.4375,30.875,32.125,4017600,15.927502
2000-01-07,31.25,33.75,31.25,33.5625,2746400,16.640211
2000-01-10,33.9687,35.25,33.625,35.25,3255000,17.47687
2000-01-11,34.4375,35.0625,32.9375,33.0,5179600,16.361325
2000-01-12,33.046799,33.375,32.5,33.0,2239600,16.361325
2000-01-13,32.8437,34.9375,32.8125,34.75,2258000,17.228971
2000-01-14,34.8437,35.375,33.6875,34.375,2601000,17.043047
2000-01-18,33.7812,34.125,33.125,33.125,2074200,16.4233
2000-01-19,33.4375,33.4375,31.875,32.3125,2896400,16.020464
2000-01-20,32.375,32.375,29.625,29.8125,5598800,14.78097
2000-01-21,29.875,29.875,28.0,28.0625,7507000,13.913324
2000-01-24,28.0625,28.5,26.5,26.5,4965800,13.13864
2000-01-25,27.0625,28.25,25.875,27.1875,7229000,13.479501
2000-01-26,27.625,27.875,26.5,26.8125,5319000,13.293576
2000-01-27,27.75,27.9375,27.0625,27.6875,3597400,13.727399
2000-01-28,27.625,28.5,27.3125,27.5625,3107800,13.665425
2000-01-31,27.625,27.75,26.75,27.1875,3943600,13.479501
2000-02-01,27.5,30.75,27.25,30.75,2881600,15.24578
2000-02-02,30.8125,32.0,30.375,30.8125,4579400,15.276767
2000-02-03,31.3125,31.375,30.625,30.875,2956400,15.307755
2000-02-04,31.5937,32.125,31.0,32.0625,3042200,15.896515
2000-02-07,32.0625,32.0625,30.375,30.6875,1873800,15.214793
2000-02-08,31.0,32.125,30.75,31.3125,2728000,15.524666
2000-02-09,31.0,31.9375,30.6875,30.8125,2061200,15.276767
2000-02-10,31.25,31.75,30.875,31.5625,1949000,15.648616
2000-02-11,31.5625,31.625,29.625,29.9375,2862600,14.842944
2000-02-14,29.6875,30.75,29.3125,30.6875,2415800,15.214793
2000-02-15,30.25,31.4375,29.5625,31.1875,2035800,15.462692
2000-02-16,30.875,30.9375,27.5,27.9375,6552200,13.851349
2000-02-17,28.5625,28.6875,27.625,28.25,4343800,14.006286
2000-02-18,28.5,28.5625,25.0,25.25,7342400,12.518893
2000-02-22,25.9375,26.375,24.9375,25.4375,5387400,12.611855
2000-02-23,25.4375,27.0625,25.125,26.5625,4942600,13.169627
2000-02-24,26.8125,27.0,22.4375,24.375,6843000,12.08507
2000-02-25,24.5,25.25,23.6875,23.9375,4985200,11.868158
2000-02-28,23.75,26.25,23.625,26.125,4942600,12.952716
2000-02-29,26.25,28.75,25.875,28.375,5867200,14.06826
2000-03-01,28.25,28.5,26.5,26.75,5716800,13.262589
2000-03-02,27.1875,27.625,26.9375,27.25,3341800,13.510488
2000-03-03,27.25,27.375,26.125,26.875,3162000,13.324564
2000-03-06,26.5625,26.625,23.375,24.0625,5278400,11.930133
2000-03-07,24.625,24.75,22.0,23.0625,4972600,11.434335
2000-03-08,23.0937,23.875,22.75,23.625,4421400,11.713221
2000-03-09,23.5625,24.0937,23.0,24.0625,7286200,11.930133
2000-03-10,23.875,24.0,23.4375,23.625,2788400,11.713221
2000-03-13,23.375,23.375,22.5,22.75,3670200,11.279398
2000-03-14,23.0,23.5,22.75,22.8125,3709000,11.310386
2000-03-15,23.0,26.9375,22.9375,26.9375,7987200,13.355551
2000-03-16,27.0,31.25,26.75,31.1875,14014800,15.462692
2000-03-17,30.671801,32.0,29.9375,31.9375,11677200,15.83454
2000-03-20,31.375,32.25,31.0,31.0625,8672800,15.400717
2000-03-21,31.171801,32.625,30.5625,32.3125,3572600,16.020464
2000-03-22,32.625,32.625,29.5625,29.8125,4612800,14.78097
2000-03-23,29.125,29.9375,28.875,29.4375,3157000,14.595045
2000-03-24,29.625,30.0,28.375,29.375,2937800,14.564058
2000-03-27,29.6875,31.3125,28.9375,30.4375,4751000,15.090843
2000-03-28,30.4375,32.375,30.3125,31.75,2746800,15.741578
2000-03-29,31.75,33.8125,31.6875,33.5,3529400,16.609224
2000-03-30,34.125,45.5,34.125,43.625,38071600,21.629176
2000-03-31,41.5,41.75,39.0,39.375,26784200,19.522035
2000-04-03,39.25,40.125,37.875,39.625,6127800,19.645985
2000-04-04,39.875,41.25,36.375,40.6875,6592000,20.17277
2000-04-05,39.625,41.0625,39.0,40.8125,2803000,20.234745
2000-04-06,40.375,42.125,38.0,41.5,5675200,20.575606
2000-04-07,41.625,41.9375,38.625,41.5,3267600,20.575606
2000-04-10,40.875,41.125,38.0,38.125,2856400,18.902288
2000-04-11,38.0,41.125,37.25,40.5625,3315800,20.110795
2000-04-12,40.0625,44.0,39.9375,42.4375,5043400,21.040416
2000-04-13,42.0,42.609299,39.5,40.328098,2698400,19.994579
2000-04-14,39.5,40.375,35.0,35.5625,4875000,17.631807
2000-04-17,35.0,39.25,35.0,38.6875,7055600,19.181174
2000-04-18,38.3125,39.25,37.0,38.9375,3103800,19.305124
2000-04-19,38.625,38.75,36.5625,37.4375,2823800,18.561427
2000-04-20,37.875,39.5,37.4375,39.0625,2401800,19.367099
2000-04-24,38.9375,39.6875,38.375,39.25,2191200,19.460061
2000-04-25,39.6875,41.4375,39.375,41.4375,3368800,20.544618
2000-04-26,41.4375,41.4375,39.5,39.625,2819000,19.645985
2000-04-27,39.25,39.25,36.9375,36.9375,3279000,18.313528
2000-04-28,37.125,37.125,35.375,36.6875,3730800,18.189579
2000-05-01,36.5625,36.625,35.4375,35.6875,3546400,17.693781
2000-05-02,35.75,36.5,35.0,35.6875,4127600,17.693781
2000-05-03,35.125,35.375,32.0625,33.5625,9467200,16.640211
2000-05-04,33.3125,35.625,32.75,35.3125,2895800,17.507857
2000-05-05,34.0,36.125,33.875,35.3125,1946800,17.507857
2000-05-08,34.9375,35.625,33.375,33.625,1996800,16.671198
2000-05-09,33.984299,35.4375,32.875,35.4375,1444200,17.569832
2000-05-10,34.9375,39.25,34.875,37.625,5766600,18.654389
2000-05-11,38.109299,40.125,37.375,39.9375,3153400,19.800922
2000-05-12,39.875,39.875,37.0625,38.9375,1950400,19.305124
2000-05-15,38.625,40.5,37.25,40.4375,2375000,20.04882
2000-05-16,41.125,41.75,38.5,39.375,2412800,19.522035
2000-05-17,38.9375,39.0,36.75,37.3125,1584400,18.499453
2000-05-18,37.4375,38.25,36.625,36.625,1528800,18.158592
2000-05-19,36.25,37.0,35.0,36.0,1443000,17.848718
2000-05-22,35.6875,37.5,34.5,37.4375,1478800,18.561427
2000-05-23,37.6875,38.0,36.25,36.25,1372600,17.972667
2000-05-24,36.125,36.125,31.9375,33.75,3829000,16.733173
2000-05-25,34.0,35.5,33.5,33.875,1835400,16.795148
2000-05-26,34.25,36.5,33.6875,33.875,2281800,16.795148
2000-05-30,34.5,36.625,34.125,35.4375,1994800,17.569832
2000-05-31,36.0,37.625,35.75,36.8125,2829800,18.251554
2000-06-01,36.5625,37.4375,35.75,37.125,2312800,18.40649
2000-06-02,37.5,40.0937,37.375,40.0625,2077000,19.862896
2000-06-05,39.8125,40.0,37.5,37.6875,1322200,18.685377
2000-06-06,37.4375,37.5625,34.875,35.5625,2981400,17.631807
2000-06-07,35.7187,35.75,33.875,34.5,3937600,17.105021
2000-06-08,34.7187,34.8125,32.875,33.0625,2957000,16.392312
2000-06-09,34.125,34.375,33.625,34.0,1370600,16.857123
2000-06-12,34.0,34.0625,31.625,32.75,2303800,16.237375
2000-06-13,31.9375,34.5625,31.875,34.5625,2562000,17.136009
2000-06-14,34.75,35.0,33.0,33.25,2125600,16.485274
2000-06-15,33.5,35.0,33.0,34.75,2416000,17.228971
2000-06-16,36.625,36.6875,35.0,35.6875,2987000,17.693781
2000-06-19,34.75,35.25,33.75,34.0,2008200,16.857123
2000-06-20,34.125,35.0,33.1875,34.9375,2419400,17.321933
2000-06-21,34.9375,36.5,34.875,35.6875,5057000,17.693781
2000-06-22,33.4375,34.375,32.5625,32.8125,5422400,16.268363
2000-06-23,33.0625,33.375,32.5,32.9375,1948600,16.330338
2000-06-26,32.9375,34.125,32.8125,33.0,3477200,16.361325
2000-06-27,33.0625,35.6875,32.5625,35.375,5120600,17.538844
2000-06-28,35.7812,36.375,35.0625,35.875,2621800,17.786743
2000-06-29,35.8125,35.8125,34.0,34.0625,2913400,16.88811
2000-06-30,34.25,37.0,34.25,36.25,2541600,17.972667
2000-07-03,36.3125,36.3125,35.25,35.625,897200,17.662794
2000-07-05,35.984299,36.0625,34.0,34.1875,1056400,16.950085
2000-07-06,34.25,37.375,34.125,36.625,3213200,18.158592
2000-07-07,36.9375,39.375,36.75,39.0,4321400,19.336111
2000-07-10,38.5,40.875,38.5,40.0625,3146800,19.862896
2000-07-11,40.0,40.9375,38.75,39.25,2437400,19.460061
2000-07-12,39.5,41.375,39.125,40.375,6534800,20.017833
