Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,53.0625,53.1875,50.625,50.9375,385000,21.691258
2000-01-04,50.5,51.75,49.9375,50.375,767400,21.451723
2000-01-05,50.3125,52.375,49.9375,52.1875,375000,22.223559
2000-01-06,52.0,54.0625,52.0,53.3125,1267200,22.702629
2000-01-07,53.25,54.9375,53.25,54.6875,405400,23.28816
2000-01-10,54.4375,54.875,53.5625,53.8125,310200,22.91555
2000-01-11,53.5625,54.6875,53.5625,53.6875,309800,22.86232
2000-01-12,53.625,53.625,52.625,52.75,245400,22.463094
2000-01-13,52.5625,54.5,52.5625,53.3125,472400,22.702629
2000-01-14,53.375,53.375,51.1875,52.3125,323800,22.276789
2000-01-18,52.375,52.375,49.0,49.8125,726200,21.212187
2000-01-19,49.875,49.875,48.375,49.1875,1031800,20.946037
2000-01-20,49.0,49.0,47.875,48.0,353000,20.523803
2000-01-21,48.625,49.0,47.0,47.5625,325200,20.336737
2000-01-24,47.5,47.625,43.9375,45.75,1444000,19.56175
2000-01-25,46.375,47.125,45.5625,47.0625,1216800,20.122947
2000-01-26,46.5625,47.3125,43.5625,44.0,1960600,18.813486
2000-01-27,46.0,46.0,44.75,45.0,493600,19.241065
2000-01-28,45.5,46.4375,45.1875,45.625,922400,19.508302
2000-01-31,45.0,45.0,43.625,44.75,717400,19.13417
2000-02-01,45.0,45.625,44.5625,45.25,299400,19.34796
2000-02-02,45.25,46.4375,44.3125,45.125,457000,19.294512
2000-02-03,44.875,46.4375,44.5625,46.0,738400,19.668644
2000-02-04,46.75,47.375,45.25,45.4375,629200,19.428131
2000-02-07,45.625,45.625,44.375,44.4375,501000,19.000552
2000-02-08,44.625,44.6875,42.75,43.125,548200,18.439354
2000-02-09,43.25,44.25,42.5,42.9375,556000,18.359183
2000-02-10,43.0,43.0,40.625,41.25,824800,17.637643
2000-02-11,41.75,41.75,40.0625,40.375,688600,17.263511
2000-02-14,40.625,41.625,40.625,41.3125,779000,17.664367
2000-02-15,41.25,41.9375,40.6875,41.625,759600,17.797985
2000-02-16,41.375,41.5625,40.375,40.5625,1021200,17.343682
2000-02-17,40.5625,41.25,40.125,40.9375,490400,17.504024
2000-02-18,40.8125,40.9375,39.8125,39.9375,766200,17.076445
2000-02-22,40.0,40.25,38.625,39.3125,588800,16.809208
2000-02-23,39.125,39.125,38.0,38.125,690600,16.301458
2000-02-24,38.0,39.0,37.25,38.25,997200,16.354905
2000-02-25,38.25,39.4375,38.125,38.375,509600,16.408353
2000-02-28,38.375,39.75,38.125,39.25,479000,16.782485
2000-02-29,39.0625,39.8125,38.75,39.5,691600,16.889379
2000-03-01,39.6875,39.8125,39.1875,39.6875,521600,16.96955
2000-03-02,39.6875,40.0,39.5,39.875,593600,17.049722
2000-03-03,39.875,40.6875,39.375,40.625,627600,17.370406
2000-03-06,40.125,40.125,37.8125,38.5,670200,16.4618
2000-03-07,38.25,38.25,35.0,35.25,701400,15.072168
2000-03-08,35.5,35.6875,35.0625,35.4375,1060200,15.152339
2000-03-09,35.6875,37.5,35.125,37.4375,852600,16.007497
2000-03-10,37.4375,37.5,36.4375,36.8125,360000,15.74026
2000-03-13,36.375,37.125,36.0,36.125,601000,15.446299
2000-03-14,36.375,36.75,35.75,36.5625,304400,15.633365
2000-03-15,36.0,38.5,36.0,38.4375,821600,16.435076
2000-03-16,38.4375,40.4375,38.4375,39.9375,1081800,17.076445
2000-03-17,38.875,41.5,38.8125,40.625,1256000,17.370406
2000-03-20,41.125,42.0,41.125,41.3125,934600,17.664367
2000-03-21,41.3125,41.375,39.875,41.0625,434000,17.557472
2000-03-22,41.0,41.25,39.875,40.5,472800,17.316959
2000-03-23,40.5,40.6875,39.1875,40.4375,682800,17.290235
2000-03-24,40.1875,40.5,39.8125,39.875,569000,17.049722
2000-03-27,39.625,39.9375,38.75,39.625,398200,16.942827
2000-03-28,39.5625,39.625,38.625,38.875,481600,16.622142
2000-03-29,38.625,39.25,37.875,37.9375,761400,16.221287
2000-03-30,38.125,38.1875,37.5625,37.875,410200,16.194563
2000-03-31,37.875,39.25,37.6875,38.6875,981400,16.541971
2000-04-03,38.875,40.1875,38.8125,39.1875,535800,16.755761
2000-04-04,39.1875,41.125,39.1875,40.5625,906400,17.343682
2000-04-05,40.5,42.25,40.5,41.4375,845200,17.717814
2000-04-06,41.8125,41.875,40.8125,40.9375,505400,17.504024
2000-04-07,40.9375,41.3125,40.5,40.875,501600,17.477301
2000-04-10,40.875,41.6875,40.75,41.4375,390600,17.717814
2000-04-11,41.5,42.6875,41.375,42.1875,493000,18.038499
2000-04-12,42.3125,43.5625,42.25,42.8125,593800,18.305736
2000-04-13,43.0,44.25,42.75,43.0625,491200,18.41263
2000-04-14,43.0,43.0625,40.875,41.6875,355200,17.824709
2000-04-17,40.625,40.8125,39.0,39.0,1119800,16.67559
2000-04-18,39.0625,41.4375,39.0,41.25,559200,17.637643
2000-04-19,42.5,43.3125,41.25,41.375,819800,17.69109
2000-04-20,41.375,41.75,40.5,40.9375,379000,17.504024
2000-04-24,40.875,42.875,40.625,42.625,1030800,18.225564
2000-04-25,42.875,44.375,42.8125,44.3125,744200,18.947104
2000-04-26,44.25,44.25,42.6875,43.125,495200,18.439354
2000-04-27,41.0,43.5,41.0,43.5,822800,18.686357
2000-04-28,43.5,44.0625,42.8125,43.5625,484200,18.713205
2000-05-01,42.75,44.0,42.4375,43.25,482600,18.578964
2000-05-02,43.0,43.4375,42.4375,42.4375,239400,18.229937
2000-05-03,42.6875,42.6875,41.4375,41.75,261200,17.934607
2000-05-04,41.125,42.9375,41.125,42.625,576200,18.310482
2000-05-05,42.5,43.375,42.5,43.0,469400,18.471571
2000-05-08,42.75,42.875,42.25,42.8125,297800,18.391026
2000-05-09,42.625,43.6875,42.625,43.5625,291600,18.713205
2000-05-10,43.5625,45.6875,43.25,45.0625,542000,19.357562
2000-05-11,45.0,45.875,44.75,45.8125,628200,19.679741
2000-05-12,45.625,45.625,43.6875,44.3125,353600,19.035384
2000-05-15,44.4375,45.0,44.0,44.3125,448400,19.035384
2000-05-16,44.5625,44.5625,43.875,44.0,234200,18.901142
2000-05-17,44.0,44.625,43.4375,44.3125,368600,19.035384
2000-05-18,44.0,45.375,44.0,45.0625,372200,19.357562
2000-05-19,44.875,45.0,43.875,44.125,316400,18.954839
2000-05-22,44.25,45.125,44.0625,45.0,430000,19.330714
2000-05-23,45.0,45.75,44.8125,45.125,524000,19.38441
2000-05-24,45.375,47.25,45.375,47.0,581000,20.189857
2000-05-25,46.9375,46.9375,45.1875,45.25,498800,19.438107
2000-05-26,45.5,47.0,44.75,45.0625,521400,19.357562
2000-05-30,45.0,46.5,45.0,46.5,373400,19.975071
2000-05-31,46.625,46.625,45.25,45.625,325000,19.599196
2000-06-01,45.625,46.25,45.375,45.875,397400,19.706589
2000-06-02,45.625,45.625,43.375,43.375,370600,18.63266
2000-06-05,43.375,44.9375,42.8125,44.375,330000,19.062232
2000-06-06,44.25,44.375,43.5,43.5,337400,18.686357
2000-06-07,43.75,44.125,42.1875,42.1875,547400,18.122544
2000-06-08,42.3125,43.4375,42.3125,42.625,206200,18.310482
2000-06-09,42.8125,44.75,42.8125,44.0,245400,18.901142
2000-06-12,44.125,44.5,43.5,43.75,280200,18.79375
2000-06-13,44.0,45.625,44.0,44.875,363800,19.277017
2000-06-14,44.875,47.9375,44.875,47.875,902400,20.565732
2000-06-15,47.875,47.875,46.8125,47.625,590000,20.458339
2000-06-16,46.875,47.1875,46.6875,46.75,451600,20.082464
2000-06-19,47.0,47.1875,46.75,46.75,235200,20.082464
2000-06-20,46.75,48.375,46.75,48.125,658800,20.673125
2000-06-21,48.1875,49.1875,47.625,48.1875,608600,20.699973
2000-06-22,48.0,49.0,47.5,48.875,676800,20.995303
2000-06-23,48.5,49.25,47.8125,48.1875,386000,20.699973
2000-06-26,48.0,49.625,48.0,48.875,306000,20.995303
2000-06-27,48.875,51.75,48.875,51.5,1142800,22.122928
2000-06-28,51.0,52.0,50.4375,51.859299,970400,22.277273
2000-06-29,50.0,50.0,47.75,48.125,1590000,20.673125
2000-06-30,48.375,49.25,47.4375,48.140598,946600,20.679825
2000-07-03,49.0,49.0625,48.0625,48.75,338800,20.941607
2000-07-05,48.5,49.25,48.0,49.0,546800,21.049
2000-07-06,49.0,49.0,48.4375,48.8125,488800,20.968455
2000-07-07,48.6875,50.25,48.5625,50.125,1324000,21.532267
2000-07-10,50.125,50.9375,50.125,50.625,420400,21.747053
2000-07-11,50.625,51.125,50.25,50.5625,1139400,21.720205
2000-07-12,50.8125,51.75,50.6875,51.375,1159000,22.069232
2000-07-13,51.375,51.875,50.25,50.625,809400,21.747053
2000-07-14,50.4375,50.4375,49.125,49.75,456600,21.371178
2000-07-17,49.5625,50.4375,49.5625,49.875,865200,21.424875
2000-07-18,49.875,49.9375,48.0,48.9375,1710400,21.022151
2000-07-19,49.25,49.625,48.625,49.125,547200,21.102696
2000-07-20,48.625,49.3125,47.5625,48.0625,483000,20.734915
2000-07-21,48.25,48.375,47.625,48.0625,220800,20.734915
2000-07-24,48.0,49.3125,48.0,48.6875,160800,21.004549
2000-07-25,48.8125,48.9375,48.0625,48.3125,470400,20.842768
2000-07-26,48.25,50.5,48.25,49.875,889400,21.516855
2000-07-27,49.625,50.6875,49.625,50.625,383200,21.840417
2000-07-28,50.875,51.125,50.125,50.4375,395000,21.759527
2000-07-31,50.375,50.375,49.9375,50.0625,515200,21.597746
2000-08-01,50.125,51.25,50.0625,51.0,1188000,22.002198
2000-08-02,50.9375,51.5625,50.75,50.75,740400,21.894344
2000-08-03,50.75,51.1875,50.125,50.4375,494000,21.759527
2000-08-04,51.0,51.0,50.0625,50.75,313600,21.894344
2000-08-07,50.5,50.75,50.3125,50.375,630000,21.732563
2000-08-08,50.5,50.9375,49.6875,50.0625,682200,21.597746
2000-08-09,50.0,50.0,48.375,48.4375,789600,20.896695
2000-08-10,49.0,52.625,48.75,52.125,1511600,22.487541
2000-08-11,52.625,53.125,50.75,51.4375,490600,22.190942
2000-08-14,51.4375,52.0,51.0625,51.9375,275800,22.40665
2000-08-15,51.9375,51.9375,50.625,50.75,173000,21.894344
2000-08-16,51.0,51.4375,50.9375,51.1562,279800,22.069585
2000-08-17,51.25,51.625,50.5,50.9375,213400,21.975235
2000-08-18,50.875,50.9375,49.375,49.4375,656600,21.328111
2000-08-21,49.5625,50.8125,49.5625,50.5625,464000,21.813454
2000-08-22,50.5,50.8125,50.0,50.0,251600,21.570782
2000-08-23,50.125,50.625,49.625,49.9375,265600,21.543819
2000-08-24,49.75,50.1875,49.625,49.9375,200400,21.543819
2000-08-25,49.9375,49.9375,48.6875,48.75,432400,21.031513
2000-08-28,48.125,49.8125,48.0,48.875,429800,21.08544
2000-08-29,49.125,49.125,48.25,48.375,269600,20.869732
2000-08-30,48.375,49.125,48.1875,48.875,432600,21.08544
2000-08-31,48.875,49.9375,48.8125,48.8125,330600,21.058476
2000-09-01,48.5625,49.1875,48.1875,48.1875,296600,20.788842
2000-09-05,48.1875,48.1875,46.75,47.0625,800600,20.303499
2000-09-06,46.8125,46.875,45.0,45.3437,935800,19.561982
2000-09-07,45.5,45.5,43.3125,45.0,1125600,19.413704
2000-09-08,45.25,45.5,42.0,42.0,1657400,18.119457
2000-09-11,42.875,44.6875,42.5625,44.3125,992200,19.117106
2000-09-12,44.3125,45.8125,44.3125,44.75,711400,19.30585
2000-09-13,44.75,44.75,44.0625,44.5625,363200,19.22496
2000-09-14,44.3125,44.375,43.625,44.0625,274600,19.009252
2000-09-15,44.1875,44.3125,43.125,43.4375,521600,18.739617
2000-09-18,43.5625,44.6875,43.5,43.625,377400,18.820508
2000-09-19,43.875,43.875,42.4375,42.4687,647400,18.321662
2000-09-20,42.0,42.5,42.0,42.1875,414000,18.200348
2000-09-21,42.1875,43.25,42.1875,43.0,357000,18.550873
2000-09-22,42.9375,43.875,42.5,43.75,320600,18.874435
2000-09-25,43.0,43.3125,42.375,42.5,290000,18.335165
2000-09-26,42.5625,42.5625,41.5625,42.1875,326200,18.200348
2000-09-27,42.1875,42.1875,40.1875,40.1875,627800,17.337516
2000-09-28,40.25,42.25,40.25,41.8125,599000,18.038567
2000-09-29,42.1875,42.9375,41.5625,42.2187,415400,18.213808
2000-10-02,42.125,42.25,41.0,41.125,222800,17.741968
2000-10-03,42.0,42.0,41.125,41.1875,557400,17.768932
2000-10-04,41.0,41.125,40.4375,40.75,530200,17.580188
2000-10-05,40.6875,42.125,40.6875,41.75,412600,18.011603
2000-10-06,41.6875,42.125,41.375,41.875,658600,18.06553
2000-10-09,41.875,41.875,41.125,41.5,604200,17.903749
2000-10-10,41.5,42.25,41.125,41.8125,354200,18.038567
2000-10-11,42.0625,42.5,41.4375,42.1875,403800,18.200348
2000-10-12,42.4375,42.6875,41.6875,41.8125,705200,18.038567
2000-10-13,42.0,42.5,41.4375,41.5625,536200,17.930713
2000-10-16,41.125,42.5,41.0,42.0625,450600,18.146421
2000-10-17,42.125,42.125,41.125,41.6875,450400,17.98464
2000-10-18,41.4375,42.5,41.125,42.1875,486400,18.200348
2000-10-19,42.75,42.75,40.1875,41.0,846800,17.776529
2000-10-20,41.0,41.5625,41.0,41.1875,671200,17.857824
2000-10-23,41.1875,41.375,41.0625,41.0625,636800,17.803627
2000-10-24,41.0,41.625,40.9375,41.5625,857200,18.020414
2000-10-25,41.75,42.1875,41.0,41.625,515000,18.047512
2000-10-26,41.875,42.25,41.625,41.9375,489000,18.183004
2000-10-27,41.6875,41.8125,41.0625,41.625,512400,18.047512
2000-10-30,41.75,42.25,41.75,41.9375,603400,18.183004
2000-10-31,41.9375,42.3125,41.625,41.875,621600,18.155906
2000-11-01,42.0,42.75,42.0,42.5625,775600,18.453988
2000-11-02,42.375,43.3125,42.0625,43.0,279000,18.643676
2000-11-03,43.25,43.625,42.875,43.625,347800,18.91466
2000-11-06,43.375,44.625,43.375,44.125,525600,19.131447
2000-11-07,43.75,44.25,43.625,43.9375,358800,19.050152
2000-11-08,44.1875,45.1875,44.1875,45.0625,364200,19.537923
2000-11-09,45.0,45.5625,44.875,45.4375,677200,19.700513
2000-11-10,45.1875,45.9375,44.875,45.5,564200,19.727611
2000-11-13,44.875,45.4375,44.4375,45.0,383800,19.510824
2000-11-14,45.5,45.5,44.5625,44.8125,526800,19.429529
2000-11-15,44.8125,45.25,44.625,44.875,307800,19.456627
2000-11-16,45.125,46.375,45.125,46.25,389600,20.052792
2000-11-17,46.25,47.375,46.1875,46.8125,603200,20.296677
2000-11-20,46.8125,47.3125,46.75,47.125,357600,20.432169
2000-11-21,47.5625,47.9375,47.1875,47.6875,497600,20.676054
2000-11-22,47.75,47.75,47.0,47.3125,159200,20.513464
2000-11-24,47.375,47.4375,46.9375,47.25,132400,20.486365
2000-11-27,47.0625,47.9375,46.8125,47.4375,468000,20.567661
2000-11-28,47.125,47.5625,46.875,47.5,470200,20.594759
2000-11-29,47.3125,48.5,47.3125,48.3125,449200,20.947038
