Date,Open,High,Low,Close,Volume,Adj Close
2000-01-03,39.25,40.0625,38.9375,39.8125,1636800,4.23661
2000-01-04,39.5625,40.3125,38.4375,38.5,1223200,4.096941
2000-01-05,38.375,39.625,38.375,39.1875,582400,4.170101
2000-01-06,39.3125,40.5,39.3125,39.8125,536800,4.23661
2000-01-07,39.9375,40.375,38.375,38.6875,1006400,4.116894
2000-01-10,42.1875,42.1875,39.75,39.9375,3791200,4.249911
2000-01-11,40.0,40.9375,39.8125,40.6875,2477600,4.329722
2000-01-12,40.6875,40.75,38.9375,38.9375,1356800,4.143497
2000-01-13,39.625,41.75,39.5,39.8125,2209600,4.23661
2000-01-14,41.75,42.4375,41.4375,42.0625,1567200,4.476041
2000-01-18,42.3125,43.25,41.9375,42.375,1419200,4.509296
2000-01-19,42.625,42.625,41.375,41.6875,2047200,4.436136
2000-01-20,41.9375,42.3125,41.5625,41.9375,1691200,4.46274
2000-01-21,42.625,42.875,41.0,41.0,2144800,4.362976
2000-01-24,41.25,41.3125,39.0,39.375,1327200,4.190054
2000-01-25,39.25,39.375,37.5,37.5,1603200,3.990527
2000-01-26,37.0,38.4375,37.0,38.0,1442400,4.043734
2000-01-27,38.0625,38.1875,37.1875,37.4375,1840000,3.983876
2000-01-28,37.5,37.5,36.0,36.0,1229600,3.830906
2000-01-31,36.0625,36.8125,35.3125,36.375,1116800,3.870811
2000-02-01,36.125,36.5625,35.5,35.9375,525600,3.824255
2000-02-02,36.125,36.1875,35.0,35.3125,900800,3.757746
2000-02-03,36.125,36.25,35.0625,35.4375,916000,3.771048
2000-02-04,35.3125,35.4375,34.5,34.75,1069600,3.697888
2000-02-07,34.9375,35.0,33.9375,34.0,883200,3.618078
2000-02-08,34.125,34.3125,32.9375,32.9375,700800,3.505013
2000-02-09,33.0,33.75,32.375,33.125,1655200,3.524966
2000-02-10,33.125,33.125,32.3125,32.5625,676000,3.465108
2000-02-11,32.5625,32.75,31.6875,32.3125,829600,3.438504
2000-02-14,32.3125,32.8125,32.1875,32.5625,702400,3.465108
2000-02-15,32.3125,32.875,32.0625,32.0625,1388000,3.411901
2000-02-16,32.5,32.5625,31.1875,31.5625,1012000,3.358694
2000-02-17,31.75,32.0625,31.5625,31.75,420800,3.378646
